epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.192,2.68917,1.83206,2.61904,0.69177,0.40386,0.51808,0.19984,2.62098,2.29417,2.22094,0.0804438,0.000317987,0.000317987
2,54.1732,1.66316,0.99571,1.70192,0.91199,0.79521,0.89534,0.5356,1.48713,0.82736,1.51001,0.0607575,0.000631671,0.000631671
3,79.8523,1.38116,0.7856,1.46614,0.91279,0.84173,0.9211,0.56692,1.38165,0.76953,1.41874,0.0410648,0.000939019,0.000939019
4,105.18,1.28231,0.71025,1.38656,0.9399,0.87029,0.93605,0.60882,1.24872,0.71477,1.32651,0.0213658,0.00124003,0.00124003
5,130.259,1.20978,0.65954,1.33621,0.94787,0.88708,0.95421,0.63847,1.18447,0.63426,1.28907,0.00166049,0.00153471,0.00153471
6,155.363,1.14577,0.62241,1.28864,0.94169,0.89941,0.95549,0.64997,1.15929,0.61312,1.25423,0.0015208,0.0015208,0.0015208
7,180.439,1.06359,0.57697,1.23688,0.95335,0.90802,0.96481,0.67454,1.08211,0.58272,1.21349,0.00150496,0.00150496,0.00150496
8,214.081,1.05833,0.5621,1.22572,0.9577,0.9266,0.97114,0.69083,1.0495,0.55448,1.19036,0.00148912,0.00148912,0.00148912
9,259.318,0.99614,0.53135,1.1861,0.95947,0.92651,0.96814,0.68503,1.07301,0.5455,1.18791,0.00147328,0.00147328,0.00147328
10,303.896,0.97359,0.51798,1.17454,0.96106,0.93332,0.97277,0.70794,1.01218,0.50382,1.14715,0.00145744,0.00145744,0.00145744
11,347.724,0.95597,0.50379,1.15943,0.97101,0.94508,0.97904,0.73461,0.93931,0.48255,1.11599,0.0014416,0.0014416,0.0014416
12,393.047,0.92051,0.49066,1.14494,0.97496,0.94296,0.97944,0.72686,0.94649,0.48316,1.11895,0.00142576,0.00142576,0.00142576
13,437.59,0.91365,0.4846,1.13359,0.97035,0.94135,0.9789,0.74265,0.90546,0.4731,1.10241,0.00140992,0.00140992,0.00140992
14,481.791,0.8907,0.46876,1.1172,0.9725,0.94404,0.98054,0.75578,0.87657,0.45638,1.08571,0.00139408,0.00139408,0.00139408
15,526.854,0.8722,0.46047,1.107,0.97254,0.95189,0.98138,0.74889,0.89435,0.44944,1.08407,0.00137824,0.00137824,0.00137824
16,571.172,0.86845,0.45383,1.09993,0.97776,0.95055,0.98016,0.74919,0.89714,0.43458,1.07777,0.0013624,0.0013624,0.0013624
17,615.386,0.83731,0.44111,1.08924,0.97708,0.95799,0.98185,0.74643,0.90615,0.45172,1.07437,0.00134656,0.00134656,0.00134656
18,660.314,0.84029,0.44217,1.08761,0.9805,0.95664,0.98314,0.76951,0.82713,0.43385,1.04815,0.00133072,0.00133072,0.00133072
19,704.766,0.8295,0.43643,1.07907,0.97871,0.95885,0.98256,0.74505,0.92644,0.45174,1.08357,0.00131488,0.00131488,0.00131488
20,749.647,0.81517,0.42869,1.06994,0.981,0.96068,0.98429,0.77803,0.81514,0.42223,1.04251,0.00129904,0.00129904,0.00129904
21,794.89,0.80358,0.4196,1.06295,0.98088,0.96393,0.98495,0.79177,0.75969,0.4003,1.01912,0.0012832,0.0012832,0.0012832
22,839.291,0.78097,0.41308,1.05329,0.98152,0.96242,0.98393,0.77553,0.80509,0.41805,1.02947,0.00126736,0.00126736,0.00126736
23,884.093,0.78117,0.4105,1.05087,0.9831,0.96351,0.98584,0.80406,0.74676,0.3908,1.00864,0.00125152,0.00125152,0.00125152
24,929.142,0.76347,0.40389,1.04144,0.98017,0.96605,0.98625,0.7976,0.76005,0.39188,1.01278,0.00123568,0.00123568,0.00123568
25,973.424,0.76754,0.40279,1.04145,0.98412,0.96817,0.9862,0.78936,0.78627,0.40146,1.01846,0.00121984,0.00121984,0.00121984
26,1018.39,0.76268,0.39993,1.04138,0.98352,0.96947,0.98663,0.79481,0.76611,0.38549,1.01069,0.001204,0.001204,0.001204
27,1063.37,0.73871,0.39184,1.02939,0.98353,0.96909,0.98695,0.81387,0.73389,0.37688,0.99453,0.00118816,0.00118816,0.00118816
28,1107.85,0.74231,0.39221,1.0286,0.98114,0.96652,0.98527,0.80102,0.75799,0.38362,1.00934,0.00117232,0.00117232,0.00117232
29,1152.92,0.74052,0.39189,1.025,0.98437,0.96672,0.98641,0.80241,0.75806,0.37687,1.0034,0.00115648,0.00115648,0.00115648
30,1198.01,0.72486,0.38528,1.02036,0.984,0.96921,0.9869,0.81045,0.71773,0.37174,0.98953,0.00114064,0.00114064,0.00114064
31,1242.17,0.72042,0.38131,1.01952,0.98432,0.96802,0.98648,0.80336,0.74574,0.37922,0.99619,0.0011248,0.0011248,0.0011248
32,1273.05,0.72333,0.38391,1.01604,0.98616,0.96817,0.98861,0.82428,0.70317,0.36611,0.98184,0.00110896,0.00110896,0.00110896
33,1297.93,0.69617,0.37246,1.00613,0.98687,0.97167,0.98939,0.82598,0.69761,0.35657,0.97736,0.00109312,0.00109312,0.00109312
34,1322.76,0.69975,0.37304,1.005,0.98692,0.97159,0.99008,0.81958,0.70535,0.35922,0.98122,0.00107728,0.00107728,0.00107728
35,1347.43,0.68946,0.36531,1.00013,0.98619,0.971,0.98883,0.82188,0.70475,0.35373,0.97475,0.00106144,0.00106144,0.00106144
36,1372.07,0.68961,0.36623,0.99861,0.98724,0.97289,0.99095,0.82081,0.70823,0.35193,0.97724,0.0010456,0.0010456,0.0010456
37,1396.74,0.68827,0.36612,0.99832,0.98783,0.97153,0.98908,0.82234,0.70618,0.34982,0.97607,0.00102976,0.00102976,0.00102976
38,1421.48,0.67645,0.3605,0.99118,0.98769,0.9731,0.99117,0.83049,0.69586,0.34805,0.97131,0.00101392,0.00101392,0.00101392
39,1446.31,0.67065,0.35827,0.98609,0.98914,0.97489,0.99185,0.83057,0.69495,0.34729,0.9676,0.00099808,0.00099808,0.00099808
40,1470.93,0.66973,0.35622,0.98885,0.98696,0.97318,0.99153,0.82717,0.70471,0.34456,0.97407,0.00098224,0.00098224,0.00098224
41,1495.65,0.66559,0.35534,0.98537,0.98815,0.97495,0.9919,0.82613,0.69086,0.35169,0.96942,0.0009664,0.0009664,0.0009664
42,1520.3,0.65533,0.34949,0.9824,0.98865,0.97574,0.99201,0.84053,0.65549,0.33657,0.95349,0.00095056,0.00095056,0.00095056
43,1545.22,0.6441,0.346,0.97782,0.98906,0.97483,0.99192,0.84207,0.65634,0.33347,0.95134,0.00093472,0.00093472,0.00093472
44,1570,0.64815,0.34553,0.97677,0.98953,0.9747,0.99093,0.83381,0.67756,0.33621,0.95745,0.00091888,0.00091888,0.00091888
45,1594.78,0.642,0.34205,0.9734,0.98916,0.9743,0.99024,0.83401,0.67014,0.33158,0.95529,0.00090304,0.00090304,0.00090304
46,1619.51,0.63871,0.34013,0.97268,0.98877,0.97667,0.99264,0.83988,0.67452,0.32866,0.95712,0.0008872,0.0008872,0.0008872
47,1644.3,0.637,0.33952,0.96748,0.98825,0.97846,0.99265,0.84757,0.64199,0.32505,0.94448,0.00087136,0.00087136,0.00087136
48,1669.07,0.62906,0.33682,0.96774,0.98947,0.9781,0.99257,0.85638,0.6301,0.31734,0.93731,0.00085552,0.00085552,0.00085552
49,1693.68,0.62598,0.33414,0.96162,0.98917,0.97898,0.99315,0.85301,0.63237,0.31718,0.93674,0.00083968,0.00083968,0.00083968
