epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0602,0.58539,0.31355,1.00654,0.99111,0.9816,0.99426,0.8893,0.53339,0.28222,0.97242,0.0671041,0.000332282,0.000332282
2,76.2537,0.53543,0.29283,0.97831,0.99085,0.98195,0.99424,0.89247,0.52865,0.2781,0.97232,0.0340931,0.000654632,0.000654632
3,113.02,0.52301,0.28825,0.97627,0.98399,0.96887,0.99049,0.85314,0.65679,0.33614,1.04319,0.00107114,0.000965983,0.000965983
4,149.556,0.51576,0.28555,0.97495,0.99043,0.98168,0.99428,0.88906,0.54958,0.28735,0.98277,0.0009505,0.0009505,0.0009505
5,186.052,0.49731,0.27815,0.96363,0.99008,0.98262,0.99433,0.89725,0.52749,0.2749,0.97216,0.000934,0.000934,0.000934
6,222.766,0.48514,0.27245,0.95857,0.99177,0.98461,0.99451,0.90464,0.50432,0.26709,0.95959,0.0009175,0.0009175,0.0009175
7,259.642,0.47993,0.27116,0.95606,0.99113,0.9845,0.99447,0.90158,0.51321,0.26976,0.96434,0.000901,0.000901,0.000901
8,296.871,0.4775,0.26943,0.9549,0.99277,0.98489,0.99459,0.90577,0.50148,0.26565,0.95634,0.0008845,0.0008845,0.0008845
9,333.621,0.46422,0.26324,0.94502,0.9934,0.98416,0.99463,0.90697,0.49889,0.26354,0.95503,0.000868,0.000868,0.000868
10,370.154,0.45802,0.26041,0.94208,0.99318,0.98574,0.99464,0.90824,0.49125,0.26223,0.95294,0.0008515,0.0008515,0.0008515
11,407.024,0.4641,0.26282,0.94648,0.9922,0.98228,0.99445,0.89986,0.51261,0.26919,0.96476,0.000835,0.000835,0.000835
12,443.892,0.46028,0.2614,0.94307,0.99293,0.98284,0.99452,0.90306,0.50743,0.26796,0.95919,0.0008185,0.0008185,0.0008185
13,480.711,0.4524,0.25819,0.93875,0.9931,0.98501,0.99462,0.90873,0.48891,0.26164,0.95023,0.000802,0.000802,0.000802
