epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0348,0.95346,0.18048,1.50216,0.96132,0.88706,0.95966,0.74264,1.08085,0.19636,1.56164,0.0917808,7.46445e-05,7.46445e-05
2,50.0927,0.77361,0.1403,1.37541,0.98028,0.96254,0.98548,0.82944,0.80005,0.14256,1.39909,0.08352,0.000147175,0.000147175
3,73.7649,0.75171,0.13729,1.36541,0.98159,0.96296,0.98665,0.83461,0.78589,0.14086,1.39255,0.0752567,0.000217231,0.000217231
4,96.9563,0.7394,0.13601,1.36046,0.98142,0.96431,0.98661,0.83592,0.78022,0.13992,1.3892,0.066991,0.000284812,0.000284812
5,120.077,0.73242,0.13404,1.35489,0.98215,0.9652,0.98783,0.84042,0.76925,0.13784,1.38275,0.0587227,0.000349918,0.000349918
6,142.964,0.713,0.13228,1.34462,0.98353,0.96457,0.9882,0.8431,0.76059,0.13675,1.37752,0.050452,0.000412549,0.000412549
7,165.814,0.70764,0.13127,1.34215,0.98366,0.9656,0.98891,0.84688,0.75908,0.1369,1.37583,0.0421789,0.000472705,0.000472705
8,188.637,0.70618,0.1307,1.3426,0.98359,0.96595,0.98868,0.84741,0.75852,0.1362,1.37387,0.0339032,0.000530386,0.000530386
9,211.25,0.68907,0.12874,1.3281,0.98394,0.96693,0.98877,0.84907,0.75466,0.13521,1.37187,0.0256251,0.000585591,0.000585591
10,233.88,0.6888,0.12842,1.3268,0.9834,0.96717,0.98888,0.84847,0.75778,0.13575,1.37143,0.0173445,0.000638322,0.000638322
11,256.314,0.69167,0.12866,1.3331,0.98472,0.96674,0.98897,0.84916,0.75401,0.13529,1.3688,0.00906141,0.000688578,0.000688578
12,278.81,0.68572,0.12808,1.32779,0.98414,0.96859,0.9892,0.85175,0.74753,0.13479,1.36573,0.000775854,0.000736359,0.000736359
13,301.273,0.67597,0.1268,1.32175,0.9844,0.96961,0.98944,0.85353,0.7432,0.13433,1.36188,0.0007218,0.0007218,0.0007218
14,323.747,0.67617,0.12693,1.32118,0.986,0.96775,0.98948,0.85288,0.74569,0.13481,1.36097,0.00070695,0.00070695,0.00070695
15,346.159,0.6721,0.12674,1.31921,0.98431,0.96703,0.98945,0.85184,0.75885,0.13594,1.36689,0.0006921,0.0006921,0.0006921
