epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1432,3.40999,1.05722,3.66768,0.05749,0.55825,0.15964,0.04408,3.45079,1.65542,3.59834,0.0877649,0.000186321,0.000186321
2,55.0283,2.27261,0.64037,2.64017,0.70732,0.58899,0.67378,0.27734,2.40949,0.72362,2.59323,0.0754463,0.000367653,0.000367653
3,78.9713,1.84426,0.48931,2.21322,0.86065,0.7438,0.83832,0.43078,1.94143,0.50851,2.23083,0.0631214,0.000542797,0.000542797
4,104.303,1.61578,0.41955,2.02369,0.86676,0.7478,0.85562,0.47898,1.78071,0.45709,2.08633,0.0507904,0.000711754,0.000711754
5,127.415,1.48582,0.37514,1.87018,0.89851,0.77419,0.87604,0.51513,1.68605,0.41426,1.98152,0.0384531,0.000874524,0.000874524
6,151.773,1.37038,0.34215,1.78543,0.88511,0.80943,0.89726,0.55188,1.54336,0.37707,1.87671,0.0261097,0.00103111,0.00103111
7,175.555,1.31892,0.3257,1.73981,0.91097,0.84022,0.9086,0.55234,1.61402,0.37094,1.9092,0.0137601,0.0011815,0.0011815
8,199.826,1.32503,0.3236,1.74575,0.92831,0.84635,0.93143,0.5973,1.46551,0.35025,1.80549,0.00140432,0.00132571,0.00132571
9,223.761,1.2535,0.30523,1.67232,0.92716,0.84613,0.93091,0.60703,1.43133,0.33605,1.76666,0.001302,0.001302,0.001302
10,248.241,1.20458,0.29393,1.64557,0.9329,0.87871,0.94358,0.63356,1.31828,0.33256,1.71059,0.00127725,0.00127725,0.00127725
11,272.096,1.19657,0.28743,1.62385,0.94385,0.85554,0.94269,0.63617,1.30581,0.31449,1.70182,0.0012525,0.0012525,0.0012525
12,295.712,1.13494,0.2737,1.58467,0.94408,0.89042,0.95471,0.66446,1.25979,0.29225,1.65283,0.00122775,0.00122775,0.00122775
13,320.706,1.09606,0.26304,1.57454,0.94911,0.88794,0.95021,0.66531,1.22861,0.29289,1.65345,0.001203,0.001203,0.001203
14,343.605,1.07914,0.25954,1.54237,0.9493,0.90349,0.96177,0.66919,1.23627,0.28585,1.62729,0.00117825,0.00117825,0.00117825
15,367.812,1.0675,0.25654,1.54398,0.95886,0.89399,0.96258,0.68542,1.18216,0.27489,1.61848,0.0011535,0.0011535,0.0011535
16,391.711,1.05016,0.25135,1.52359,0.95797,0.90491,0.9639,0.69302,1.15281,0.26746,1.59193,0.00112875,0.00112875,0.00112875
17,414.921,1.02568,0.24531,1.49567,0.95983,0.91429,0.96875,0.70926,1.11864,0.2584,1.55488,0.001104,0.001104,0.001104
18,438.992,0.97941,0.23559,1.47544,0.95756,0.92774,0.97004,0.71201,1.11684,0.2568,1.5552,0.00107925,0.00107925,0.00107925
19,462.953,0.99106,0.23527,1.47751,0.96267,0.92025,0.96937,0.70697,1.14143,0.25706,1.55929,0.0010545,0.0010545,0.0010545
20,487.012,0.96011,0.23211,1.4684,0.96339,0.92666,0.97284,0.7276,1.07519,0.24631,1.52324,0.00102975,0.00102975,0.00102975
21,511.319,0.9383,0.22601,1.45297,0.9634,0.91558,0.96965,0.7268,1.07859,0.24601,1.52234,0.001005,0.001005,0.001005
22,535.577,0.94577,0.22668,1.4596,0.96619,0.93398,0.97393,0.7328,1.05157,0.24052,1.50937,0.00098025,0.00098025,0.00098025
23,559.811,0.9314,0.22312,1.44659,0.96336,0.9205,0.97228,0.72619,1.08988,0.24755,1.53232,0.0009555,0.0009555,0.0009555
24,583.187,0.917,0.21872,1.42417,0.96865,0.93383,0.97558,0.74161,1.03862,0.23451,1.48724,0.00093075,0.00093075,0.00093075
25,607.983,0.88399,0.21279,1.42217,0.96501,0.93207,0.97614,0.74442,1.03372,0.23291,1.49455,0.000906,0.000906,0.000906
26,631.07,0.90204,0.21431,1.40441,0.96885,0.93435,0.97477,0.74831,1.01976,0.22962,1.47917,0.00088125,0.00088125,0.00088125
27,655.477,0.87421,0.20967,1.40704,0.97261,0.94129,0.97883,0.76058,0.9752,0.22356,1.46097,0.0008565,0.0008565,0.0008565
28,678.526,0.8561,0.20611,1.38735,0.96975,0.93978,0.97886,0.75939,0.99537,0.2241,1.47182,0.00083175,0.00083175,0.00083175
29,702.119,0.86572,0.20715,1.39215,0.97178,0.94107,0.97735,0.75952,0.98499,0.22186,1.45792,0.000807,0.000807,0.000807
30,725.211,0.85962,0.20534,1.38957,0.97381,0.93848,0.9769,0.75681,0.98623,0.22051,1.45235,0.00078225,0.00078225,0.00078225
31,748.155,0.853,0.2042,1.38059,0.97167,0.93958,0.97847,0.76668,0.96006,0.21522,1.43538,0.0007575,0.0007575,0.0007575
32,771.132,0.83932,0.20137,1.37075,0.97359,0.94039,0.9808,0.77184,0.9418,0.21448,1.42752,0.00073275,0.00073275,0.00073275
33,794.723,0.81978,0.19808,1.36732,0.96864,0.94311,0.97869,0.76836,0.94889,0.2164,1.43897,0.000708,0.000708,0.000708
34,819.235,0.82836,0.19919,1.37231,0.97415,0.94119,0.98027,0.77036,0.94424,0.21388,1.42605,0.00068325,0.00068325,0.00068325
35,842.673,0.80831,0.19496,1.3577,0.97156,0.94267,0.97888,0.77369,0.93398,0.2115,1.42216,0.0006585,0.0006585,0.0006585
36,865.503,0.7921,0.19048,1.34312,0.97543,0.94646,0.98192,0.7852,0.9087,0.20535,1.40861,0.00063375,0.00063375,0.00063375
37,888.773,0.78615,0.19109,1.34059,0.97522,0.94796,0.98133,0.78265,0.91403,0.20697,1.41292,0.000609,0.000609,0.000609
38,912.003,0.78718,0.18989,1.33942,0.97271,0.9512,0.98109,0.77882,0.91941,0.20588,1.40797,0.00058425,0.00058425,0.00058425
39,934.5,0.77329,0.18746,1.32732,0.97768,0.94938,0.98232,0.78689,0.91429,0.20464,1.39972,0.0005595,0.0005595,0.0005595
40,958.496,0.78493,0.18903,1.34314,0.97273,0.95052,0.98171,0.78297,0.91584,0.20437,1.40033,0.00053475,0.00053475,0.00053475
41,982.51,0.78534,0.18809,1.33919,0.9767,0.94843,0.98227,0.79802,0.86704,0.19926,1.38254,0.00051,0.00051,0.00051
42,1005.59,0.76059,0.18514,1.31774,0.97868,0.95424,0.98319,0.79925,0.86658,0.1964,1.37768,0.00048525,0.00048525,0.00048525
43,1029.26,0.75601,0.18379,1.32908,0.97936,0.95203,0.98329,0.79765,0.86522,0.19683,1.37335,0.0004605,0.0004605,0.0004605
44,1053.61,0.74018,0.18119,1.32189,0.97725,0.95485,0.98293,0.79642,0.86533,0.19702,1.37835,0.00043575,0.00043575,0.00043575
45,1077.81,0.7347,0.18003,1.3183,0.9784,0.95358,0.98331,0.80217,0.8497,0.19186,1.36406,0.000411,0.000411,0.000411
46,1103.35,0.70234,0.17041,1.2914,0.97825,0.95643,0.98421,0.80363,0.86875,0.19175,1.37518,0.00038625,0.00038625,0.00038625
47,1126.37,0.69646,0.16981,1.27962,0.98099,0.95835,0.98506,0.80387,0.8666,0.19205,1.37046,0.0003615,0.0003615,0.0003615
48,1150.05,0.69617,0.16934,1.2831,0.98096,0.95612,0.98508,0.81287,0.83974,0.18937,1.3561,0.00033675,0.00033675,0.00033675
