epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1801,0.72893,0.39213,1.05576,0.95993,0.90885,0.96831,0.72661,1.00377,0.52695,1.18973,0.0671744,0.000298113,0.000298113
2,40.6387,0.76737,0.39485,1.07223,0.96509,0.94226,0.97996,0.73848,0.94588,0.45522,1.17744,0.0341337,0.000590712,0.000590712
3,59.8244,0.87065,0.43641,1.13011,0.9146,0.9129,0.96145,0.69353,1.04807,0.54287,1.23765,0.00108553,0.000875885,0.000875885
4,78.8741,0.92766,0.46191,1.17024,0.96209,0.92733,0.97398,0.71653,1.02756,0.49876,1.2206,0.000866587,0.000866587,0.000866587
5,97.7736,0.92073,0.46742,1.15938,0.96754,0.94804,0.98064,0.71343,1.04415,0.49042,1.22379,0.00085545,0.00085545,0.00085545
6,116.722,0.93666,0.47858,1.173,0.93846,0.90855,0.96598,0.69011,1.07597,0.55875,1.25006,0.000844313,0.000844313,0.000844313
7,135.694,0.89725,0.45874,1.15206,0.96987,0.94345,0.97866,0.72801,0.99288,0.47102,1.20405,0.000833175,0.000833175,0.000833175
8,154.791,0.90771,0.45752,1.15564,0.96362,0.95081,0.98193,0.72737,1.00206,0.48805,1.19396,0.000822037,0.000822037,0.000822037
9,173.912,0.90194,0.45975,1.15066,0.96523,0.93447,0.97963,0.72199,1.02549,0.49164,1.20164,0.0008109,0.0008109,0.0008109
10,193.21,0.92314,0.46182,1.15241,0.97173,0.95205,0.9826,0.73875,0.9675,0.47919,1.16934,0.000799762,0.000799762,0.000799762
11,212.409,0.85992,0.44235,1.12785,0.97276,0.95035,0.9827,0.74213,0.94881,0.46655,1.16729,0.000788625,0.000788625,0.000788625
12,231.598,0.86583,0.43805,1.13316,0.97739,0.95592,0.98397,0.74485,0.94847,0.45812,1.16391,0.000777488,0.000777488,0.000777488
13,250.741,0.89193,0.44572,1.14599,0.97067,0.95024,0.98361,0.73276,0.98681,0.47358,1.20192,0.00076635,0.00076635,0.00076635
14,269.75,0.89869,0.44555,1.14564,0.97561,0.95662,0.98349,0.73072,0.99049,0.46528,1.18536,0.000755212,0.000755212,0.000755212
15,288.848,0.85522,0.43411,1.12088,0.97714,0.96025,0.98554,0.7504,0.96075,0.45049,1.17242,0.000744075,0.000744075,0.000744075
16,308.115,0.83596,0.42466,1.10917,0.9748,0.9493,0.98231,0.73753,0.96421,0.45331,1.1626,0.000732937,0.000732937,0.000732937
17,327.198,0.89673,0.44647,1.13922,0.97601,0.9527,0.9848,0.76003,0.9098,0.44741,1.13404,0.0007218,0.0007218,0.0007218
18,346.368,0.84854,0.43234,1.11028,0.97705,0.95897,0.9865,0.74697,0.94334,0.45228,1.15981,0.000710662,0.000710662,0.000710662
19,365.418,0.83863,0.43074,1.11229,0.98233,0.96398,0.98841,0.74507,0.973,0.4537,1.15876,0.000699525,0.000699525,0.000699525
20,384.431,0.84563,0.42865,1.10895,0.97279,0.95659,0.98494,0.72384,1.01203,0.47145,1.19456,0.000688388,0.000688388,0.000688388
21,403.408,0.87379,0.43595,1.1214,0.97533,0.95825,0.98682,0.745,0.97012,0.45316,1.1723,0.00067725,0.00067725,0.00067725
22,422.578,0.88952,0.44521,1.1401,0.97476,0.95858,0.98564,0.72105,1.04248,0.48638,1.24309,0.000666113,0.000666113,0.000666113
23,441.6,0.88204,0.44587,1.13787,0.97713,0.95664,0.98812,0.74664,0.95439,0.45933,1.1514,0.000654975,0.000654975,0.000654975
24,460.623,0.82632,0.42806,1.10345,0.97215,0.95362,0.98459,0.72581,1.03459,0.48428,1.19473,0.000643837,0.000643837,0.000643837
25,479.7,0.84658,0.4299,1.10519,0.97705,0.95682,0.98402,0.73626,0.98208,0.4685,1.17823,0.0006327,0.0006327,0.0006327
26,498.628,0.86741,0.43634,1.12421,0.97729,0.96193,0.98597,0.74869,0.97289,0.45097,1.16409,0.000621563,0.000621563,0.000621563
27,517.645,0.87407,0.43919,1.12608,0.97874,0.96643,0.98853,0.72215,1.03488,0.47121,1.21979,0.000610425,0.000610425,0.000610425
28,536.914,0.90433,0.44099,1.143,0.97265,0.95496,0.98531,0.69082,1.13708,0.50744,1.27317,0.000599287,0.000599287,0.000599287
29,555.982,0.96546,0.45527,1.17776,0.9718,0.9468,0.98472,0.72528,1.02832,0.48018,1.2039,0.00058815,0.00058815,0.00058815
30,575.032,0.8725,0.4349,1.12894,0.97453,0.95262,0.98528,0.73744,0.98823,0.46638,1.17417,0.000577012,0.000577012,0.000577012
31,594.235,0.84079,0.42304,1.10416,0.97974,0.95766,0.9851,0.75125,0.9208,0.45411,1.14132,0.000565875,0.000565875,0.000565875
32,613.301,0.84989,0.42741,1.11642,0.97945,0.95838,0.98509,0.73754,0.9449,0.43653,1.15891,0.000554737,0.000554737,0.000554737
33,632.679,0.86711,0.43957,1.12353,0.98212,0.96521,0.98892,0.74968,0.93348,0.44246,1.15023,0.0005436,0.0005436,0.0005436
34,651.923,0.88918,0.4409,1.14035,0.97736,0.96009,0.98679,0.72599,1.03725,0.46918,1.2193,0.000532462,0.000532462,0.000532462
35,670.981,0.93311,0.44094,1.16439,0.97694,0.96058,0.98723,0.70948,1.07786,0.47425,1.23243,0.000521325,0.000521325,0.000521325
36,689.951,0.95359,0.44847,1.17695,0.96419,0.92507,0.97673,0.68308,1.14748,0.51573,1.26955,0.000510188,0.000510188,0.000510188
37,708.868,0.91321,0.43486,1.14687,0.98033,0.95931,0.98572,0.75215,0.97474,0.43773,1.16888,0.00049905,0.00049905,0.00049905
