epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1841,0.83164,0.43185,1.16257,0.97804,0.96393,0.98682,0.78885,0.81451,0.41413,1.1464,0.06709,0.000265403,0.000265403
2,50.5189,0.76337,0.40041,1.11623,0.98043,0.96698,0.98861,0.80921,0.76796,0.39548,1.11902,0.0340128,0.000521535,0.000521535
3,74.5339,0.74227,0.39069,1.10553,0.98017,0.9661,0.98839,0.81076,0.7599,0.39538,1.11582,0.000925084,0.000767106,0.000767106
4,98.3683,0.71731,0.38337,1.09398,0.9794,0.95801,0.98708,0.80261,0.77528,0.40626,1.12682,0.00075248,0.00075248,0.00075248
5,122.105,0.69435,0.37219,1.08034,0.98169,0.9655,0.98935,0.81654,0.7381,0.38628,1.10536,0.00073664,0.00073664,0.00073664
6,145.965,0.6707,0.36169,1.06756,0.98243,0.96504,0.98976,0.82183,0.7284,0.38031,1.09934,0.0007208,0.0007208,0.0007208
7,169.793,0.65988,0.35492,1.06252,0.98599,0.9696,0.99083,0.83363,0.6923,0.3643,1.08059,0.00070496,0.00070496,0.00070496
8,193.563,0.64897,0.3497,1.05765,0.98611,0.97302,0.9913,0.84233,0.6656,0.35319,1.06544,0.00068912,0.00068912,0.00068912
9,217.307,0.63143,0.34311,1.04462,0.98676,0.97382,0.99157,0.84534,0.65649,0.3487,1.06003,0.00067328,0.00067328,0.00067328
10,241.158,0.62625,0.33929,1.04182,0.98653,0.97395,0.99125,0.84959,0.65029,0.34637,1.05711,0.00065744,0.00065744,0.00065744
11,264.916,0.62621,0.33824,1.04475,0.98675,0.9745,0.99152,0.85197,0.64276,0.34222,1.0537,0.0006416,0.0006416,0.0006416
12,288.64,0.61755,0.33573,1.04057,0.98716,0.97465,0.99181,0.8541,0.63999,0.33955,1.05133,0.00062576,0.00062576,0.00062576
13,312.421,0.61081,0.33191,1.03636,0.98743,0.97525,0.99175,0.85635,0.63182,0.33588,1.04638,0.00060992,0.00060992,0.00060992
14,336.197,0.6059,0.32914,1.0339,0.98743,0.97519,0.9919,0.85748,0.62848,0.33442,1.04445,0.00059408,0.00059408,0.00059408
15,360.035,0.60348,0.32883,1.03302,0.98798,0.97532,0.99209,0.85821,0.62645,0.3322,1.04295,0.00057824,0.00057824,0.00057824
16,383.852,0.5995,0.32683,1.03008,0.98757,0.97639,0.99221,0.85932,0.62246,0.33019,1.04056,0.0005624,0.0005624,0.0005624
17,407.702,0.58777,0.32142,1.02197,0.9872,0.97542,0.99199,0.85848,0.62514,0.33098,1.04204,0.00054656,0.00054656,0.00054656
18,431.512,0.59045,0.32083,1.02465,0.98839,0.97693,0.99257,0.8625,0.61473,0.32683,1.03614,0.00053072,0.00053072,0.00053072
19,455.456,0.58522,0.3201,1.02096,0.98857,0.97673,0.99251,0.86252,0.61176,0.32519,1.03438,0.00051488,0.00051488,0.00051488
20,479.357,0.5812,0.31722,1.02048,0.9887,0.97709,0.99273,0.8635,0.60912,0.32396,1.03282,0.00049904,0.00049904,0.00049904
21,503.222,0.5768,0.31494,1.01698,0.98937,0.97662,0.99268,0.86393,0.6058,0.32176,1.03073,0.0004832,0.0004832,0.0004832
22,527.281,0.5748,0.31445,1.01686,0.98821,0.97774,0.99292,0.86615,0.60031,0.31881,1.02802,0.00046736,0.00046736,0.00046736
23,551.1,0.56815,0.31051,1.01185,0.98862,0.97741,0.99296,0.86692,0.60013,0.31843,1.02805,0.00045152,0.00045152,0.00045152
24,575.041,0.56634,0.31055,1.01142,0.9884,0.97799,0.99311,0.86783,0.59509,0.31626,1.02519,0.00043568,0.00043568,0.00043568
25,599.174,0.56568,0.30921,1.01118,0.98843,0.97854,0.99308,0.86757,0.59636,0.31684,1.02533,0.00041984,0.00041984,0.00041984
26,622.879,0.5642,0.30854,1.00993,0.98928,0.97826,0.99324,0.86911,0.59252,0.31479,1.02291,0.000404,0.000404,0.000404
27,646.701,0.55992,0.30748,1.00661,0.98965,0.97831,0.99325,0.86891,0.59182,0.31369,1.0228,0.00038816,0.00038816,0.00038816
28,670.4,0.5572,0.30603,1.00527,0.98962,0.97843,0.99325,0.86955,0.59045,0.31434,1.02209,0.00037232,0.00037232,0.00037232
29,694.207,0.55756,0.30676,1.00733,0.98991,0.97862,0.9933,0.86934,0.58939,0.31274,1.02076,0.00035648,0.00035648,0.00035648
30,718.036,0.56128,0.30809,1.00995,0.99003,0.97763,0.99325,0.8692,0.58942,0.31239,1.02087,0.00034064,0.00034064,0.00034064
31,741.915,0.55076,0.30454,1.00463,0.9898,0.978,0.99333,0.87046,0.58706,0.31127,1.01949,0.0003248,0.0003248,0.0003248
32,765.768,0.55358,0.3037,1.00415,0.99003,0.97839,0.99339,0.8706,0.58475,0.31015,1.01851,0.00030896,0.00030896,0.00030896
33,789.624,0.55099,0.3035,1.00535,0.98996,0.97865,0.99342,0.87116,0.58258,0.30878,1.01739,0.00029312,0.00029312,0.00029312
34,813.544,0.54906,0.30285,1.00166,0.98999,0.97917,0.99347,0.87152,0.58014,0.30861,1.01598,0.00027728,0.00027728,0.00027728
35,837.394,0.54652,0.3023,1.00089,0.98987,0.97942,0.9935,0.87275,0.57826,0.30688,1.01499,0.00026144,0.00026144,0.00026144
36,861.259,0.54539,0.30092,1.00031,0.98953,0.97875,0.9935,0.87185,0.58006,0.30799,1.01562,0.0002456,0.0002456,0.0002456
37,885.123,0.54709,0.30099,1.00049,0.98999,0.97909,0.9935,0.87293,0.57723,0.30641,1.01427,0.00022976,0.00022976,0.00022976
38,909.065,0.54113,0.29838,0.99648,0.99046,0.97872,0.9935,0.87446,0.57489,0.30451,1.01287,0.00021392,0.00021392,0.00021392
39,932.886,0.5451,0.30107,1.00071,0.98963,0.97911,0.99356,0.87412,0.57497,0.30458,1.01285,0.00019808,0.00019808,0.00019808
