epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1785,0.57056,0.30712,0.97107,0,0,0,0,0,0,0,0.0901835,8.91509e-05,8.91509e-05
2,20.3913,0.53889,0.29621,0.9574,0,0,0,0,0,0,0,0.0802664,0.000172057,0.000172057
3,29.6185,0.52681,0.29254,0.95495,0,0,0,0,0,0,0,0.0703422,0.000247834,0.000247834
4,38.7105,0.52201,0.2911,0.95423,0,0,0,0,0,0,0,0.0604108,0.000316484,0.000316484
5,47.6148,0.51778,0.28914,0.95056,0,0,0,0,0,0,0,0.0504723,0.000378005,0.000378005
6,56.393,0.50811,0.28677,0.94713,0,0,0,0,0,0,0,0.0405267,0.000432399,0.000432399
7,65.0933,0.50329,0.2854,0.94367,0,0,0,0,0,0,0,0.030574,0.000479665,0.000479665
8,73.7207,0.50526,0.28607,0.94529,0,0,0,0,0,0,0,0.0206141,0.000519802,0.000519802
9,82.305,0.49551,0.28223,0.93946,0,0,0,0,0,0,0,0.0106472,0.000552812,0.000552812
10,90.8166,0.49297,0.28133,0.93791,0,0,0,0,0,0,0,0.000673033,0.000578694,0.000578694
11,99.3426,0.49653,0.28279,0.94017,0,0,0,0,0,0,0,0.0005436,0.0005436,0.0005436
12,107.882,0.49417,0.28171,0.93982,0,0,0,0,0,0,0,0.00050796,0.00050796,0.00050796
13,116.488,0.49065,0.28079,0.93741,0,0,0,0,0,0,0,0.00047232,0.00047232,0.00047232
14,125.04,0.48613,0.27876,0.93536,0,0,0,0,0,0,0,0.00043668,0.00043668,0.00043668
15,133.569,0.48396,0.27819,0.93636,0,0,0,0,0,0,0,0.00040104,0.00040104,0.00040104
16,143.214,0.4795,0.27655,0.93216,0,0,0,0,0,0,0,0.0003654,0.0003654,0.0003654
17,151.857,0.47815,0.2757,0.93047,0,0,0,0,0,0,0,0.00032976,0.00032976,0.00032976
18,160.397,0.47886,0.27607,0.93055,0,0,0,0,0,0,0,0.00029412,0.00029412,0.00029412
19,168.941,0.47736,0.27581,0.93004,0,0,0,0,0,0,0,0.00025848,0.00025848,0.00025848
20,177.471,0.48008,0.27585,0.93155,0,0,0,0,0,0,0,0.00022284,0.00022284,0.00022284
21,186.063,0.47497,0.27436,0.93092,0,0,0,0,0,0,0,0.0001872,0.0001872,0.0001872
22,194.585,0.47289,0.27255,0.9276,0,0,0,0,0,0,0,0.00015156,0.00015156,0.00015156
23,203.099,0.47396,0.27306,0.92887,0,0,0,0,0,0,0,0.00011592,0.00011592,0.00011592
24,211.64,0.47591,0.27433,0.93049,0,0,0,0,0,0,0,8.028e-05,8.028e-05,8.028e-05
25,229.839,0.47292,0.27314,0.9305,0.99096,0.98396,0.99421,0.89959,0.50502,0.27501,0.93139,4.464e-05,4.464e-05,4.464e-05
