epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1202,0.56265,0.30581,0.97187,0,0,0,0,0,0,0,0.0901835,8.91509e-05,8.91509e-05
2,20.4306,0.53586,0.29652,0.95844,0,0,0,0,0,0,0,0.0802664,0.000172057,0.000172057
3,29.5612,0.52586,0.29302,0.95631,0,0,0,0,0,0,0,0.0703422,0.000247834,0.000247834
4,38.5458,0.52006,0.29168,0.95447,0,0,0,0,0,0,0,0.0604108,0.000316484,0.000316484
5,47.3285,0.52001,0.29129,0.95345,0,0,0,0,0,0,0,0.0504723,0.000378005,0.000378005
6,56.1296,0.51055,0.28781,0.95,0,0,0,0,0,0,0,0.0405267,0.000432399,0.000432399
7,64.7409,0.50555,0.28623,0.94682,0,0,0,0,0,0,0,0.030574,0.000479665,0.000479665
8,73.3361,0.51184,0.28792,0.95055,0,0,0,0,0,0,0,0.0206141,0.000519802,0.000519802
9,81.8602,0.50209,0.2842,0.94435,0,0,0,0,0,0,0,0.0106472,0.000552812,0.000552812
10,90.4326,0.49799,0.28309,0.94118,0,0,0,0,0,0,0,0.000673033,0.000578694,0.000578694
11,98.9147,0.50387,0.28516,0.94566,0,0,0,0,0,0,0,0.0005436,0.0005436,0.0005436
12,107.416,0.5,0.28413,0.94393,0,0,0,0,0,0,0,0.00050796,0.00050796,0.00050796
13,115.91,0.49691,0.28324,0.94191,0,0,0,0,0,0,0,0.00047232,0.00047232,0.00047232
14,124.494,0.49336,0.28153,0.9402,0,0,0,0,0,0,0,0.00043668,0.00043668,0.00043668
15,132.981,0.49021,0.28001,0.94062,0,0,0,0,0,0,0,0.00040104,0.00040104,0.00040104
16,142.566,0.4843,0.27815,0.93563,0,0,0,0,0,0,0,0.0003654,0.0003654,0.0003654
17,151.04,0.48232,0.27686,0.93318,0,0,0,0,0,0,0,0.00032976,0.00032976,0.00032976
18,159.601,0.4832,0.27676,0.93423,0,0,0,0,0,0,0,0.00029412,0.00029412,0.00029412
19,168.117,0.48288,0.27722,0.93362,0,0,0,0,0,0,0,0.00025848,0.00025848,0.00025848
20,176.674,0.48635,0.27878,0.9354,0,0,0,0,0,0,0,0.00022284,0.00022284,0.00022284
21,185.157,0.48001,0.27742,0.934,0,0,0,0,0,0,0,0.0001872,0.0001872,0.0001872
22,193.651,0.47714,0.27525,0.93098,0,0,0,0,0,0,0,0.00015156,0.00015156,0.00015156
23,202.206,0.48,0.27547,0.93261,0,0,0,0,0,0,0,0.00011592,0.00011592,0.00011592
24,210.703,0.48181,0.27671,0.93527,0,0,0,0,0,0,0,8.028e-05,8.028e-05,8.028e-05
25,228.63,0.47868,0.27591,0.93475,0.98978,0.97866,0.9933,0.88383,0.54916,0.29249,0.95326,4.464e-05,4.464e-05,4.464e-05
