epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5452,0.55671,0.30976,0.95922,0,0,0,0,0,0,0,0.0901445,3.46154e-05,3.46154e-05
2,21.3134,0.55249,0.30719,0.95543,0,0,0,0,0,0,0,0.0801785,6.86308e-05,6.86308e-05
3,30.6608,0.55941,0.30766,0.95685,0,0,0,0,0,0,0,0.0702115,0.000101656,0.000101656
4,40.0494,0.56974,0.31011,0.96151,0,0,0,0,0,0,0,0.0602436,0.000133692,0.000133692
5,49.1903,0.61947,0.32543,0.97875,0,0,0,0,0,0,0,0.0502746,0.000164737,0.000164737
6,58.2369,0.64084,0.33007,0.98981,0,0,0,0,0,0,0,0.0403047,0.000194793,0.000194793
7,67.3208,0.65576,0.33599,0.99628,0,0,0,0,0,0,0,0.0303337,0.000223858,0.000223858
8,76.2377,0.65937,0.3375,1.00039,0,0,0,0,0,0,0,0.0203618,0.000251933,0.000251933
9,85.1227,0.66316,0.34023,0.99733,0,0,0,0,0,0,0,0.0103889,0.000279019,0.000279019
10,93.9737,0.67323,0.34574,1.00362,0,0,0,0,0,0,0,0.000415004,0.000305114,0.000305114
11,102.805,0.70829,0.35816,1.0198,0,0,0,0,0,0,0,0.0003005,0.0003005,0.0003005
12,111.567,0.67982,0.34934,1.01042,0,0,0,0,0,0,0,0.00029555,0.00029555,0.00029555
13,120.327,0.67588,0.34767,1.01514,0,0,0,0,0,0,0,0.0002906,0.0002906,0.0002906
14,129.106,0.7379,0.36567,1.04043,0,0,0,0,0,0,0,0.00028565,0.00028565,0.00028565
15,137.92,0.73591,0.36726,1.04204,0,0,0,0,0,0,0,0.0002807,0.0002807,0.0002807
16,146.672,0.75055,0.3767,1.04874,0,0,0,0,0,0,0,0.00027575,0.00027575,0.00027575
17,155.425,0.70544,0.35996,1.01921,0,0,0,0,0,0,0,0.0002708,0.0002708,0.0002708
18,164.201,0.73329,0.36308,1.03226,0,0,0,0,0,0,0,0.00026585,0.00026585,0.00026585
19,173.109,0.75853,0.37186,1.0381,0,0,0,0,0,0,0,0.0002609,0.0002609,0.0002609
20,181.912,0.72281,0.35747,1.03332,0,0,0,0,0,0,0,0.00025595,0.00025595,0.00025595
21,190.673,0.68471,0.34608,1.00857,0,0,0,0,0,0,0,0.000251,0.000251,0.000251
22,199.434,0.81313,0.37805,1.07999,0,0,0,0,0,0,0,0.00024605,0.00024605,0.00024605
23,208.257,0.73448,0.35729,1.02838,0,0,0,0,0,0,0,0.0002411,0.0002411,0.0002411
24,217.031,0.76825,0.35952,1.04692,0,0,0,0,0,0,0,0.00023615,0.00023615,0.00023615
25,225.795,0.67617,0.33849,0.9973,0,0,0,0,0,0,0,0.0002312,0.0002312,0.0002312
26,234.627,0.77071,0.35592,1.04437,0,0,0,0,0,0,0,0.00022625,0.00022625,0.00022625
27,243.395,0.66092,0.33672,0.9958,0,0,0,0,0,0,0,0.0002213,0.0002213,0.0002213
28,252.155,0.68759,0.34253,1.00068,0,0,0,0,0,0,0,0.00021635,0.00021635,0.00021635
29,260.944,0.66528,0.33154,0.99418,0,0,0,0,0,0,0,0.0002114,0.0002114,0.0002114
30,269.789,0.72908,0.34903,1.01921,0,0,0,0,0,0,0,0.00020645,0.00020645,0.00020645
31,278.527,0.67548,0.33593,1.00089,0,0,0,0,0,0,0,0.0002015,0.0002015,0.0002015
32,287.269,0.67889,0.33526,1.00139,0,0,0,0,0,0,0,0.00019655,0.00019655,0.00019655
33,296.101,0.6665,0.33001,0.99577,0,0,0,0,0,0,0,0.0001916,0.0001916,0.0001916
34,304.893,0.70849,0.34191,1.0147,0,0,0,0,0,0,0,0.00018665,0.00018665,0.00018665
35,313.652,0.63506,0.32426,0.98611,0,0,0,0,0,0,0,0.0001817,0.0001817,0.0001817
36,322.443,0.65807,0.32597,0.9906,0,0,0,0,0,0,0,0.00017675,0.00017675,0.00017675
37,331.287,0.63003,0.31784,0.98036,0,0,0,0,0,0,0,0.0001718,0.0001718,0.0001718
