epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3253,0.73306,0.41156,1.13452,0,0,0,0,0,0,0,0.0670569,0.000232227,0.000232227
2,38.8372,0.61165,0.34654,1.04703,0,0,0,0,0,0,0,0.0339477,0.000456343,0.000456343
3,57.0875,0.58745,0.33512,1.03517,0,0,0,0,0,0,0,0.000829196,0.000671218,0.000671218
4,75.2221,0.57357,0.32811,1.02871,0,0,0,0,0,0,0,0.00065842,0.00065842,0.00065842
5,93.4384,0.55716,0.32004,1.01829,0,0,0,0,0,0,0,0.00064456,0.00064456,0.00064456
6,111.582,0.54187,0.31308,1.00969,0,0,0,0,0,0,0,0.0006307,0.0006307,0.0006307
7,129.715,0.53242,0.30807,1.00367,0,0,0,0,0,0,0,0.00061684,0.00061684,0.00061684
8,147.945,0.5241,0.30474,0.9993,0,0,0,0,0,0,0,0.00060298,0.00060298,0.00060298
9,166.218,0.51211,0.29821,0.99072,0,0,0,0,0,0,0,0.00058912,0.00058912,0.00058912
10,184.416,0.50767,0.2961,0.98905,0,0,0,0,0,0,0,0.00057526,0.00057526,0.00057526
11,202.61,0.50741,0.29434,0.98982,0,0,0,0,0,0,0,0.0005614,0.0005614,0.0005614
12,220.807,0.50426,0.29493,0.9895,0,0,0,0,0,0,0,0.00054754,0.00054754,0.00054754
13,239.095,0.49556,0.28996,0.98243,0,0,0,0,0,0,0,0.00053368,0.00053368,0.00053368
14,257.37,0.4977,0.29009,0.98485,0,0,0,0,0,0,0,0.00051982,0.00051982,0.00051982
15,275.628,0.4932,0.28852,0.98177,0,0,0,0,0,0,0,0.00050596,0.00050596,0.00050596
16,293.941,0.49138,0.28774,0.98292,0,0,0,0,0,0,0,0.0004921,0.0004921,0.0004921
17,312.184,0.48047,0.28199,0.97301,0,0,0,0,0,0,0,0.00047824,0.00047824,0.00047824
18,330.424,0.48234,0.28288,0.97462,0,0,0,0,0,0,0,0.00046438,0.00046438,0.00046438
19,348.65,0.47929,0.28174,0.97235,0,0,0,0,0,0,0,0.00045052,0.00045052,0.00045052
20,366.876,0.47752,0.28036,0.97192,0,0,0,0,0,0,0,0.00043666,0.00043666,0.00043666
21,385.03,0.4718,0.27736,0.96693,0,0,0,0,0,0,0,0.0004228,0.0004228,0.0004228
22,403.298,0.47402,0.2789,0.96926,0,0,0,0,0,0,0,0.00040894,0.00040894,0.00040894
23,421.542,0.47063,0.2767,0.96729,0,0,0,0,0,0,0,0.00039508,0.00039508,0.00039508
24,439.851,0.4699,0.27657,0.96776,0,0,0,0,0,0,0,0.00038122,0.00038122,0.00038122
25,458.048,0.46503,0.27442,0.9635,0,0,0,0,0,0,0,0.00036736,0.00036736,0.00036736
26,476.22,0.46479,0.27389,0.96477,0,0,0,0,0,0,0,0.0003535,0.0003535,0.0003535
27,494.398,0.465,0.27363,0.96427,0,0,0,0,0,0,0,0.00033964,0.00033964,0.00033964
28,512.594,0.46139,0.27201,0.96175,0,0,0,0,0,0,0,0.00032578,0.00032578,0.00032578
29,530.81,0.46279,0.27256,0.96329,0,0,0,0,0,0,0,0.00031192,0.00031192,0.00031192
30,548.995,0.46381,0.27329,0.96466,0,0,0,0,0,0,0,0.00029806,0.00029806,0.00029806
31,567.187,0.46008,0.27263,0.96416,0,0,0,0,0,0,0,0.0002842,0.0002842,0.0002842
32,585.432,0.45823,0.27046,0.96009,0,0,0,0,0,0,0,0.00027034,0.00027034,0.00027034
33,603.618,0.45862,0.27127,0.9614,0,0,0,0,0,0,0,0.00025648,0.00025648,0.00025648
34,621.803,0.45564,0.26991,0.9578,0,0,0,0,0,0,0,0.00024262,0.00024262,0.00024262
35,640.092,0.45583,0.27013,0.95932,0,0,0,0,0,0,0,0.00022876,0.00022876,0.00022876
36,658.297,0.4537,0.26837,0.95789,0,0,0,0,0,0,0,0.0002149,0.0002149,0.0002149
37,676.504,0.45132,0.26806,0.9555,0,0,0,0,0,0,0,0.00020104,0.00020104,0.00020104
38,694.634,0.44922,0.26647,0.9534,0,0,0,0,0,0,0,0.00018718,0.00018718,0.00018718
39,712.827,0.45478,0.26987,0.96029,0,0,0,0,0,0,0,0.00017332,0.00017332,0.00017332
40,731.037,0.45124,0.26792,0.95625,0,0,0,0,0,0,0,0.00015946,0.00015946,0.00015946
41,750.034,0.44899,0.26684,0.95474,0,0,0,0,0,0,0,0.0001456,0.0001456,0.0001456
42,768.248,0.44669,0.26536,0.95311,0,0,0,0,0,0,0,0.00013174,0.00013174,0.00013174
43,786.489,0.44904,0.2665,0.9547,0,0,0,0,0,0,0,0.00011788,0.00011788,0.00011788
44,804.615,0.44744,0.26566,0.9529,0,0,0,0,0,0,0,0.00010402,0.00010402,0.00010402
45,822.76,0.44795,0.26624,0.95486,0,0,0,0,0,0,0,9.016e-05,9.016e-05,9.016e-05
46,840.971,0.44572,0.26436,0.95147,0,0,0,0,0,0,0,7.63e-05,7.63e-05,7.63e-05
47,859.139,0.44413,0.26454,0.95017,0,0,0,0,0,0,0,6.244e-05,6.244e-05,6.244e-05
48,877.259,0.44574,0.265,0.95364,0,0,0,0,0,0,0,4.858e-05,4.858e-05,4.858e-05
49,895.376,0.44709,0.26538,0.95513,0,0,0,0,0,0,0,3.472e-05,3.472e-05,3.472e-05
50,924.419,0.44626,0.26477,0.95259,0.99299,0.98826,0.99466,0.92017,0.46332,0.26437,0.95863,2.086e-05,2.086e-05,2.086e-05
