epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3635,0.78163,0.44153,1.16974,0,0,0,0,0,0,0,0.0670569,0.000232227,0.000232227
2,38.9158,0.64293,0.36432,1.07098,0,0,0,0,0,0,0,0.0339477,0.000456343,0.000456343
3,57.177,0.61527,0.35021,1.05579,0,0,0,0,0,0,0,0.000829196,0.000671218,0.000671218
4,75.3893,0.599,0.34131,1.04749,0,0,0,0,0,0,0,0.00065842,0.00065842,0.00065842
5,93.6451,0.57893,0.33112,1.03426,0,0,0,0,0,0,0,0.00064456,0.00064456,0.00064456
6,111.807,0.56238,0.32267,1.02378,0,0,0,0,0,0,0,0.0006307,0.0006307,0.0006307
7,129.944,0.55361,0.31859,1.01763,0,0,0,0,0,0,0,0.00061684,0.00061684,0.00061684
8,148.154,0.54714,0.3143,1.01469,0,0,0,0,0,0,0,0.00060298,0.00060298,0.00060298
9,166.392,0.53107,0.30676,1.00331,0,0,0,0,0,0,0,0.00058912,0.00058912,0.00058912
10,184.581,0.52823,0.30435,1.00226,0,0,0,0,0,0,0,0.00057526,0.00057526,0.00057526
11,202.74,0.52939,0.30434,1.00354,0,0,0,0,0,0,0,0.0005614,0.0005614,0.0005614
12,220.931,0.52441,0.30347,1.00277,0,0,0,0,0,0,0,0.00054754,0.00054754,0.00054754
13,239.074,0.51658,0.29924,0.99645,0,0,0,0,0,0,0,0.00053368,0.00053368,0.00053368
14,257.247,0.51674,0.29851,0.99804,0,0,0,0,0,0,0,0.00051982,0.00051982,0.00051982
15,275.411,0.51399,0.29762,0.99536,0,0,0,0,0,0,0,0.00050596,0.00050596,0.00050596
16,293.641,0.51192,0.29622,0.99622,0,0,0,0,0,0,0,0.0004921,0.0004921,0.0004921
17,311.807,0.49889,0.29084,0.98545,0,0,0,0,0,0,0,0.00047824,0.00047824,0.00047824
18,330.031,0.50223,0.29121,0.98735,0,0,0,0,0,0,0,0.00046438,0.00046438,0.00046438
19,348.282,0.49811,0.28999,0.98468,0,0,0,0,0,0,0,0.00045052,0.00045052,0.00045052
20,366.581,0.49485,0.28847,0.98304,0,0,0,0,0,0,0,0.00043666,0.00043666,0.00043666
21,384.821,0.49256,0.28602,0.97986,0,0,0,0,0,0,0,0.0004228,0.0004228,0.0004228
22,403.104,0.49233,0.28635,0.98259,0,0,0,0,0,0,0,0.00040894,0.00040894,0.00040894
23,421.353,0.4873,0.28343,0.97798,0,0,0,0,0,0,0,0.00039508,0.00039508,0.00039508
24,439.638,0.48582,0.28411,0.97835,0,0,0,0,0,0,0,0.00038122,0.00038122,0.00038122
25,457.901,0.48404,0.2822,0.9757,0,0,0,0,0,0,0,0.00036736,0.00036736,0.00036736
26,476.156,0.48343,0.28215,0.97641,0,0,0,0,0,0,0,0.0003535,0.0003535,0.0003535
27,494.402,0.48255,0.28152,0.97543,0,0,0,0,0,0,0,0.00033964,0.00033964,0.00033964
28,512.68,0.47862,0.27967,0.97266,0,0,0,0,0,0,0,0.00032578,0.00032578,0.00032578
29,530.908,0.48019,0.28126,0.97508,0,0,0,0,0,0,0,0.00031192,0.00031192,0.00031192
30,549.17,0.48248,0.28163,0.97715,0,0,0,0,0,0,0,0.00029806,0.00029806,0.00029806
31,567.416,0.47674,0.28025,0.9748,0,0,0,0,0,0,0,0.0002842,0.0002842,0.0002842
32,585.622,0.47526,0.27781,0.97153,0,0,0,0,0,0,0,0.00027034,0.00027034,0.00027034
33,603.831,0.47576,0.2791,0.97179,0,0,0,0,0,0,0,0.00025648,0.00025648,0.00025648
34,622.026,0.47219,0.27727,0.96869,0,0,0,0,0,0,0,0.00024262,0.00024262,0.00024262
35,640.3,0.47079,0.27707,0.96858,0,0,0,0,0,0,0,0.00022876,0.00022876,0.00022876
36,658.522,0.47148,0.27613,0.96927,0,0,0,0,0,0,0,0.0002149,0.0002149,0.0002149
37,676.714,0.46752,0.27435,0.9663,0,0,0,0,0,0,0,0.00020104,0.00020104,0.00020104
38,694.908,0.46559,0.27319,0.96397,0,0,0,0,0,0,0,0.00018718,0.00018718,0.00018718
39,713.179,0.47174,0.27698,0.97145,0,0,0,0,0,0,0,0.00017332,0.00017332,0.00017332
40,731.374,0.46816,0.27495,0.96712,0,0,0,0,0,0,0,0.00015946,0.00015946,0.00015946
41,750.364,0.46557,0.2737,0.96578,0,0,0,0,0,0,0,0.0001456,0.0001456,0.0001456
42,768.621,0.46376,0.27308,0.96492,0,0,0,0,0,0,0,0.00013174,0.00013174,0.00013174
43,786.756,0.46568,0.27356,0.96595,0,0,0,0,0,0,0,0.00011788,0.00011788,0.00011788
44,804.897,0.46397,0.27262,0.96303,0,0,0,0,0,0,0,0.00010402,0.00010402,0.00010402
45,823.099,0.46475,0.27336,0.96596,0,0,0,0,0,0,0,9.016e-05,9.016e-05,9.016e-05
46,841.369,0.46093,0.27085,0.96104,0,0,0,0,0,0,0,7.63e-05,7.63e-05,7.63e-05
47,859.538,0.46029,0.27137,0.96024,0,0,0,0,0,0,0,6.244e-05,6.244e-05,6.244e-05
48,877.676,0.46144,0.27191,0.96402,0,0,0,0,0,0,0,4.858e-05,4.858e-05,4.858e-05
49,895.876,0.46294,0.27154,0.96568,0,0,0,0,0,0,0,3.472e-05,3.472e-05,3.472e-05
50,925.007,0.46288,0.27169,0.96306,0.99329,0.98553,0.9946,0.91209,0.4847,0.27256,0.9715,2.086e-05,2.086e-05,2.086e-05
