epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6,0.57373,0.31638,0.96976,0,0,0,0,0,0,0,0.0901389,4.45755e-05,4.45755e-05
2,21.3996,0.57263,0.31602,0.964,0,0,0,0,0,0,0,0.0801823,8.79631e-05,8.79631e-05
3,31.0209,0.58896,0.32058,0.9708,0,0,0,0,0,0,0,0.0702241,0.000129731,0.000129731
4,40.429,0.61598,0.3274,0.98485,0,0,0,0,0,0,0,0.0602642,0.000169878,0.000169878
5,49.6543,0.65488,0.34069,1.00272,0,0,0,0,0,0,0,0.0503027,0.000208406,0.000208406
6,58.7532,0.648,0.34108,0.99724,0,0,0,0,0,0,0,0.0403397,0.000245314,0.000245314
7,67.7202,0.68851,0.35316,1.01934,0,0,0,0,0,0,0,0.0303749,0.000280601,0.000280601
8,76.684,0.68924,0.3525,1.0139,0,0,0,0,0,0,0,0.0204086,0.000314269,0.000314269
9,85.6416,0.71062,0.35774,1.02238,0,0,0,0,0,0,0,0.0104407,0.000346317,0.000346317
10,94.4881,0.72944,0.37135,1.03524,0,0,0,0,0,0,0,0.000471084,0.000376744,0.000376744
11,103.315,0.71562,0.36715,1.0346,0,0,0,0,0,0,0,0.000369,0.000369,0.000369
12,112.25,0.70553,0.36422,1.02935,0,0,0,0,0,0,0,0.0003609,0.0003609,0.0003609
13,121.12,0.74323,0.38047,1.04367,0,0,0,0,0,0,0,0.0003528,0.0003528,0.0003528
14,129.992,0.7231,0.37415,1.03096,0,0,0,0,0,0,0,0.0003447,0.0003447,0.0003447
15,138.806,0.7717,0.38806,1.07016,0,0,0,0,0,0,0,0.0003366,0.0003366,0.0003366
16,147.693,0.78144,0.38722,1.06476,0,0,0,0,0,0,0,0.0003285,0.0003285,0.0003285
17,156.542,0.77351,0.39363,1.05863,0,0,0,0,0,0,0,0.0003204,0.0003204,0.0003204
18,165.38,0.79193,0.40224,1.06458,0,0,0,0,0,0,0,0.0003123,0.0003123,0.0003123
19,174.324,0.7428,0.37697,1.04052,0,0,0,0,0,0,0,0.0003042,0.0003042,0.0003042
20,183.17,0.71266,0.36769,1.02252,0,0,0,0,0,0,0,0.0002961,0.0002961,0.0002961
21,192.018,0.73485,0.3775,1.03742,0,0,0,0,0,0,0,0.000288,0.000288,0.000288
22,200.88,0.7493,0.37546,1.04344,0,0,0,0,0,0,0,0.0002799,0.0002799,0.0002799
23,209.802,0.70906,0.36895,1.02067,0,0,0,0,0,0,0,0.0002718,0.0002718,0.0002718
24,218.678,0.7418,0.37026,1.03466,0,0,0,0,0,0,0,0.0002637,0.0002637,0.0002637
25,227.518,0.73957,0.37517,1.03174,0,0,0,0,0,0,0,0.0002556,0.0002556,0.0002556
26,236.366,0.76109,0.37805,1.0398,0,0,0,0,0,0,0,0.0002475,0.0002475,0.0002475
27,245.282,0.73427,0.3687,1.03692,0,0,0,0,0,0,0,0.0002394,0.0002394,0.0002394
28,254.126,0.7233,0.36657,1.02762,0,0,0,0,0,0,0,0.0002313,0.0002313,0.0002313
29,263.005,0.83414,0.38539,1.07786,0,0,0,0,0,0,0,0.0002232,0.0002232,0.0002232
30,271.929,0.76211,0.36532,1.04939,0,0,0,0,0,0,0,0.0002151,0.0002151,0.0002151
31,280.786,0.77382,0.36631,1.06107,0,0,0,0,0,0,0,0.000207,0.000207,0.000207
32,289.643,0.69641,0.34515,1.01785,0,0,0,0,0,0,0,0.0001989,0.0001989,0.0001989
33,298.499,0.73769,0.3534,1.03721,0,0,0,0,0,0,0,0.0001908,0.0001908,0.0001908
34,307.431,0.70053,0.34665,1.00881,0,0,0,0,0,0,0,0.0001827,0.0001827,0.0001827
