epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1438,2.78237,1.92583,2.68953,0.4314,0.00962,0.21777,0.14563,3.54956,4.68975,3.08122,0.080475,0.00031748,0.00031748
2,39.9996,1.81359,1.08783,1.82441,0.79006,0.62216,0.74064,0.37905,1.90894,1.24129,1.81072,0.0607844,0.000626962,0.000626962
3,59.6718,1.48965,0.86003,1.55908,0.89162,0.78308,0.88363,0.51764,1.51545,0.86757,1.54147,0.0410834,0.000925883,0.000925883
4,79.2441,1.31537,0.73856,1.42116,0.90477,0.81428,0.90486,0.55501,1.42456,0.78985,1.44952,0.0213717,0.00121425,0.00121425
5,98.4963,1.20634,0.66753,1.34112,0.93203,0.83387,0.91499,0.57152,1.36871,0.70997,1.37944,0.00164953,0.00149205,0.00149205
6,117.684,1.15964,0.62732,1.30163,0.9347,0.85318,0.93788,0.62348,1.20028,0.65239,1.30953,0.001468,0.001468,0.001468
7,136.993,1.08303,0.58711,1.25472,0.92855,0.86354,0.94161,0.61663,1.22884,0.66462,1.31176,0.0014416,0.0014416,0.0014416
8,155.976,1.06771,0.56927,1.238,0.94319,0.88975,0.95321,0.64989,1.14588,0.60821,1.258,0.0014152,0.0014152,0.0014152
9,175.181,1.01597,0.54589,1.2006,0.95662,0.9003,0.96382,0.67368,1.06599,0.57789,1.21541,0.0013888,0.0013888,0.0013888
10,194.212,0.94393,0.51077,1.16122,0.95665,0.91974,0.96776,0.70112,1.01343,0.52715,1.18083,0.0013624,0.0013624,0.0013624
11,213.434,0.93145,0.50091,1.14936,0.96092,0.92445,0.96703,0.69537,1.02003,0.54502,1.17884,0.001336,0.001336,0.001336
12,232.696,0.91303,0.48695,1.13495,0.96373,0.93034,0.9718,0.70545,0.99919,0.53588,1.15671,0.0013096,0.0013096,0.0013096
13,251.827,0.87882,0.47423,1.11903,0.96485,0.93485,0.97441,0.72213,0.98083,0.5027,1.14297,0.0012832,0.0012832,0.0012832
