epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1722,0.92886,0.50043,1.13257,0.96873,0.93203,0.97534,0.73671,0.94663,0.45776,1.09667,0.0803643,0.000238491,0.000238491
2,44.5915,0.86381,0.45175,1.08436,0.97402,0.9464,0.97765,0.74875,0.89255,0.43411,1.0671,0.0605975,0.000471723,0.000471723
3,65.7254,0.87527,0.45213,1.09326,0.97454,0.94546,0.9772,0.74378,0.91119,0.44914,1.07818,0.040824,0.000698168,0.000698168
4,86.6317,0.88311,0.45383,1.09382,0.9736,0.94914,0.97761,0.74919,0.89217,0.47702,1.07904,0.0210436,0.000917823,0.000917823
5,107.464,0.87159,0.44602,1.09122,0.97774,0.95294,0.98138,0.75057,0.90105,0.43386,1.07105,0.00125648,0.00113069,0.00113069
6,128.242,0.87903,0.44501,1.09162,0.97609,0.95102,0.98026,0.73921,0.93041,0.43972,1.08257,0.00111514,0.00111514,0.00111514
7,148.814,0.85437,0.4352,1.07641,0.97862,0.95486,0.98067,0.75197,0.88654,0.42667,1.06085,0.00109817,0.00109817,0.00109817
8,169.417,0.83236,0.42738,1.06486,0.97659,0.95384,0.98017,0.75936,0.87424,0.41952,1.05589,0.0010812,0.0010812,0.0010812
9,190.058,0.81433,0.41974,1.05608,0.97684,0.95418,0.98129,0.75462,0.8871,0.41265,1.05849,0.00106423,0.00106423,0.00106423
10,210.619,0.81411,0.4193,1.05912,0.97787,0.95723,0.98139,0.76186,0.85895,0.41618,1.05126,0.00104726,0.00104726,0.00104726
11,231.296,0.81165,0.4186,1.05552,0.97976,0.95941,0.98355,0.77604,0.81984,0.40003,1.02944,0.00103029,0.00103029,0.00103029
12,251.884,0.8121,0.41924,1.06045,0.97866,0.9593,0.98326,0.76944,0.86971,0.41025,1.05106,0.00101331,0.00101331,0.00101331
13,272.387,0.80051,0.41365,1.05212,0.98051,0.95799,0.98364,0.77318,0.83156,0.40036,1.02935,0.000996343,0.000996343,0.000996343
14,293.148,0.7866,0.40531,1.04369,0.98042,0.96107,0.98324,0.78862,0.78475,0.38756,1.01925,0.000979371,0.000979371,0.000979371
15,313.87,0.79977,0.40985,1.04703,0.98285,0.95944,0.98397,0.78631,0.79312,0.39008,1.01744,0.0009624,0.0009624,0.0009624
16,334.529,0.77646,0.39834,1.03322,0.98401,0.96165,0.98409,0.77988,0.81756,0.39074,1.02564,0.000945429,0.000945429,0.000945429
17,355.103,0.7708,0.39767,1.0349,0.98071,0.96187,0.98363,0.78055,0.81913,0.38931,1.02265,0.000928457,0.000928457,0.000928457
18,375.693,0.77068,0.39532,1.0324,0.98274,0.96642,0.98556,0.79498,0.78448,0.3777,1.00503,0.000911486,0.000911486,0.000911486
19,396.396,0.75469,0.38873,1.02518,0.9829,0.96506,0.98453,0.78786,0.80365,0.37878,1.01317,0.000894514,0.000894514,0.000894514
20,416.98,0.74879,0.38696,1.0205,0.98595,0.96654,0.9864,0.80479,0.74563,0.36762,0.99449,0.000877543,0.000877543,0.000877543
21,437.801,0.74137,0.38059,1.01626,0.98468,0.96617,0.98521,0.80505,0.73365,0.36843,0.99103,0.000860571,0.000860571,0.000860571
22,458.673,0.74773,0.3846,1.02088,0.98398,0.96675,0.98485,0.79346,0.76724,0.37236,0.99893,0.0008436,0.0008436,0.0008436
23,479.416,0.73546,0.37758,1.01322,0.98344,0.96794,0.98634,0.80781,0.74753,0.36391,0.99125,0.000826629,0.000826629,0.000826629
24,500.275,0.72693,0.37365,1.00902,0.98479,0.96732,0.98557,0.81497,0.72067,0.36001,0.98044,0.000809657,0.000809657,0.000809657
25,521.081,0.72404,0.37263,1.00631,0.98489,0.96823,0.98584,0.80438,0.74116,0.3622,0.98726,0.000792686,0.000792686,0.000792686
26,541.809,0.72135,0.37063,1.00643,0.98713,0.96979,0.98644,0.80461,0.73712,0.36136,0.98425,0.000775714,0.000775714,0.000775714
27,562.496,0.72158,0.37136,1.0043,0.98653,0.96952,0.98904,0.82259,0.71234,0.35402,0.97375,0.000758743,0.000758743,0.000758743
28,583.254,0.70292,0.36457,0.99631,0.98648,0.96859,0.98757,0.81361,0.72135,0.36017,0.97784,0.000741771,0.000741771,0.000741771
29,603.906,0.70041,0.36323,0.99394,0.98617,0.97012,0.98821,0.81946,0.71861,0.34791,0.97579,0.0007248,0.0007248,0.0007248
30,624.603,0.69633,0.36013,0.99549,0.98642,0.96937,0.9889,0.82592,0.70034,0.34455,0.97037,0.000707829,0.000707829,0.000707829
31,645.372,0.691,0.3579,0.99454,0.98718,0.97016,0.9875,0.8186,0.70919,0.34871,0.97151,0.000690857,0.000690857,0.000690857
32,666.132,0.68982,0.3556,0.99103,0.98734,0.97154,0.98748,0.82278,0.70255,0.34419,0.96807,0.000673886,0.000673886,0.000673886
33,686.772,0.68091,0.35343,0.98749,0.98709,0.97122,0.98828,0.83251,0.67961,0.33625,0.96133,0.000656914,0.000656914,0.000656914
34,707.452,0.67232,0.35007,0.98443,0.98796,0.97186,0.98966,0.83273,0.68123,0.33559,0.95812,0.000639943,0.000639943,0.000639943
35,728.158,0.66822,0.34708,0.97963,0.98617,0.97233,0.98977,0.83958,0.66152,0.32951,0.9515,0.000622971,0.000622971,0.000622971
36,748.829,0.66818,0.34686,0.97918,0.98806,0.97242,0.98941,0.8382,0.6666,0.32888,0.95515,0.000606,0.000606,0.000606
37,769.472,0.66622,0.34659,0.97976,0.98945,0.97224,0.99117,0.83894,0.6701,0.32943,0.95753,0.000589029,0.000589029,0.000589029
38,790.102,0.66141,0.34321,0.97602,0.9877,0.97393,0.99022,0.83213,0.67814,0.3289,0.95732,0.000572057,0.000572057,0.000572057
39,810.724,0.65494,0.34069,0.97043,0.98925,0.97108,0.98902,0.83411,0.67054,0.32966,0.95378,0.000555086,0.000555086,0.000555086
40,831.375,0.64906,0.33908,0.97092,0.98903,0.97294,0.98959,0.84684,0.64112,0.32194,0.94557,0.000538114,0.000538114,0.000538114
41,852.037,0.64398,0.33597,0.96803,0.98969,0.97268,0.99149,0.84558,0.64486,0.31876,0.94222,0.000521143,0.000521143,0.000521143
42,872.64,0.63781,0.33343,0.96614,0.98872,0.97484,0.99207,0.84641,0.64079,0.31742,0.94253,0.000504171,0.000504171,0.000504171
43,893.296,0.62383,0.32812,0.96279,0.98955,0.97582,0.99133,0.84448,0.63496,0.31349,0.93841,0.0004872,0.0004872,0.0004872
44,913.885,0.62931,0.33011,0.96132,0.98901,0.97525,0.9896,0.84264,0.64574,0.3155,0.94296,0.000470229,0.000470229,0.000470229
45,934.57,0.61837,0.32632,0.95766,0.98944,0.97556,0.99021,0.84181,0.64512,0.3139,0.94229,0.000453257,0.000453257,0.000453257
46,956.035,0.58745,0.30524,0.93711,0.98949,0.97533,0.99062,0.84655,0.64001,0.31577,0.9387,0.000436286,0.000436286,0.000436286
47,976.536,0.58448,0.30404,0.93564,0.98837,0.97584,0.99185,0.84398,0.65249,0.31408,0.93998,0.000419314,0.000419314,0.000419314
48,997.125,0.5782,0.30045,0.93374,0.98921,0.97625,0.99246,0.85735,0.60762,0.30594,0.92638,0.000402343,0.000402343,0.000402343
49,1017.69,0.56157,0.29543,0.92809,0.98996,0.97579,0.99201,0.85029,0.62897,0.30548,0.93312,0.000385371,0.000385371,0.000385371
50,1038.27,0.56544,0.29713,0.92843,0.99053,0.97595,0.99146,0.85004,0.6311,0.30841,0.93422,0.0003684,0.0003684,0.0003684
51,1058.74,0.55925,0.29379,0.92428,0.98942,0.9767,0.9931,0.85573,0.62283,0.30452,0.92981,0.000351429,0.000351429,0.000351429
52,1079.28,0.55055,0.29015,0.92254,0.98925,0.97823,0.99291,0.8616,0.59736,0.29669,0.92281,0.000334457,0.000334457,0.000334457
53,1099.9,0.55406,0.29185,0.92362,0.99041,0.9766,0.99288,0.86275,0.60099,0.30055,0.92155,0.000317486,0.000317486,0.000317486
54,1120.45,0.55222,0.29118,0.91962,0.99128,0.97714,0.99291,0.85747,0.61374,0.3036,0.92296,0.000300514,0.000300514,0.000300514
55,1140.95,0.53912,0.2856,0.91615,0.99003,0.97838,0.99321,0.85953,0.61399,0.29759,0.92221,0.000283543,0.000283543,0.000283543
56,1161.4,0.53781,0.28493,0.91537,0.99164,0.97744,0.99291,0.8673,0.58239,0.29474,0.91429,0.000266571,0.000266571,0.000266571
57,1181.93,0.53286,0.2832,0.9123,0.99125,0.97798,0.99306,0.86545,0.59064,0.29327,0.91471,0.0002496,0.0002496,0.0002496
58,1202.45,0.52819,0.28017,0.91241,0.9912,0.97806,0.99305,0.86392,0.59595,0.29309,0.91712,0.000232629,0.000232629,0.000232629
59,1222.89,0.52442,0.28045,0.9107,0.99124,0.97898,0.99334,0.87291,0.56807,0.28634,0.90973,0.000215657,0.000215657,0.000215657
60,1243.52,0.51517,0.2756,0.90724,0.99131,0.97888,0.9933,0.87107,0.57042,0.28596,0.90972,0.000198686,0.000198686,0.000198686
61,1263.92,0.51793,0.27711,0.90663,0.99201,0.97851,0.99325,0.87401,0.57027,0.28624,0.90882,0.000181714,0.000181714,0.000181714
62,1284.44,0.51151,0.27461,0.90484,0.99186,0.97884,0.99331,0.87096,0.57553,0.28659,0.90979,0.000164743,0.000164743,0.000164743
63,1304.93,0.50701,0.27219,0.90427,0.99088,0.97981,0.99335,0.87054,0.57845,0.28659,0.90993,0.000147771,0.000147771,0.000147771
64,1325.33,0.50176,0.27058,0.90437,0.99131,0.97906,0.99354,0.87783,0.56031,0.28134,0.90479,0.0001308,0.0001308,0.0001308
65,1345.9,0.50005,0.27011,0.90194,0.99183,0.97873,0.99343,0.87006,0.58013,0.28511,0.90897,0.000113829,0.000113829,0.000113829
66,1366.33,0.49936,0.27085,0.9008,0.99216,0.97888,0.99333,0.87703,0.55488,0.2801,0.90299,9.68571e-05,9.68571e-05,9.68571e-05
