epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8821,0.69675,0.3576,1.0786,0.98631,0.97629,0.99291,0.8708,0.58951,0.31193,1.01315,0.0671041,0.000332282,0.000332282
2,58.098,0.6338,0.33329,1.04133,0.98764,0.97719,0.99321,0.87419,0.5804,0.30646,1.00923,0.0340931,0.000654632,0.000654632
3,86.1769,0.61479,0.32601,1.03628,0.98881,0.978,0.99341,0.87486,0.5836,0.30515,1.00951,0.00107114,0.000965983,0.000965983
4,114.241,0.59641,0.31968,1.0272,0.98838,0.97919,0.99349,0.87467,0.58131,0.30266,1.00925,0.0009505,0.0009505,0.0009505
5,142.161,0.57804,0.31076,1.01555,0.98885,0.97918,0.99365,0.87567,0.58116,0.30005,1.00797,0.000934,0.000934,0.000934
6,170.136,0.56556,0.30536,1.00861,0.98918,0.9788,0.9937,0.87852,0.57078,0.29702,1.00271,0.0009175,0.0009175,0.0009175
7,198.497,0.55744,0.30157,1.00398,0.98978,0.97976,0.99384,0.87841,0.56963,0.2971,1.00028,0.000901,0.000901,0.000901
8,226.711,0.55538,0.30038,1.00431,0.98916,0.981,0.9939,0.87989,0.56158,0.29377,0.99549,0.0008845,0.0008845,0.0008845
9,255.009,0.54049,0.29409,0.9907,0.98958,0.98012,0.99385,0.88371,0.55532,0.2918,0.99365,0.000868,0.000868,0.000868
10,282.805,0.53658,0.29148,0.98876,0.98896,0.98103,0.99391,0.8835,0.558,0.29083,0.99378,0.0008515,0.0008515,0.0008515
11,310.479,0.54336,0.29322,0.99417,0.99002,0.9817,0.99403,0.88139,0.56877,0.29337,0.99842,0.000835,0.000835,0.000835
12,338.295,0.54282,0.29365,0.992,0.98962,0.98132,0.99402,0.8793,0.56996,0.29514,0.9981,0.0008185,0.0008185,0.0008185
13,366.281,0.53252,0.28911,0.98513,0.99044,0.9817,0.99409,0.88297,0.55866,0.29003,0.99225,0.000802,0.000802,0.000802
14,394.108,0.5305,0.28899,0.98608,0.99028,0.98243,0.99415,0.88457,0.55563,0.2876,0.99002,0.0007855,0.0007855,0.0007855
15,422.673,0.53018,0.28943,0.9873,0.99085,0.98194,0.99406,0.88687,0.54825,0.28584,0.98542,0.000769,0.000769,0.000769
16,450.775,0.53062,0.28858,0.9859,0.99085,0.98184,0.99409,0.88322,0.56139,0.28912,0.99073,0.0007525,0.0007525,0.0007525
17,478.719,0.52275,0.28419,0.97911,0.99141,0.98163,0.99409,0.88555,0.55079,0.28514,0.98638,0.000736,0.000736,0.000736
18,506.663,0.52344,0.28468,0.98072,0.99101,0.98281,0.99412,0.8901,0.53877,0.283,0.98148,0.0007195,0.0007195,0.0007195
19,534.721,0.51795,0.28324,0.97764,0.99098,0.982,0.99405,0.88967,0.53949,0.28341,0.98075,0.000703,0.000703,0.000703
20,562.584,0.51341,0.28095,0.97703,0.99064,0.98243,0.99413,0.88705,0.54558,0.28334,0.98354,0.0006865,0.0006865,0.0006865
21,590.153,0.51218,0.28007,0.97331,0.99173,0.98251,0.99429,0.88639,0.54915,0.2861,0.98525,0.00067,0.00067,0.00067
22,617.724,0.51071,0.27967,0.9727,0.99179,0.98264,0.99422,0.88645,0.55228,0.28553,0.9874,0.0006535,0.0006535,0.0006535
23,645.315,0.5096,0.27917,0.97194,0.9921,0.98273,0.9943,0.88813,0.53822,0.28235,0.97981,0.000637,0.000637,0.000637
24,672.895,0.50718,0.27852,0.97149,0.99175,0.98277,0.99429,0.89027,0.53613,0.28228,0.97855,0.0006205,0.0006205,0.0006205
25,700.586,0.50512,0.27776,0.96954,0.9918,0.98321,0.99428,0.89127,0.53439,0.28236,0.97815,0.000604,0.000604,0.000604
26,728.446,0.50014,0.27612,0.96684,0.99112,0.98324,0.99423,0.89325,0.52821,0.27903,0.97554,0.0005875,0.0005875,0.0005875
27,756.034,0.49962,0.27517,0.96693,0.992,0.98256,0.99423,0.89366,0.52517,0.27812,0.97386,0.000571,0.000571,0.000571
28,783.749,0.49241,0.273,0.9617,0.99184,0.98296,0.99431,0.89336,0.52558,0.27748,0.97336,0.0005545,0.0005545,0.0005545
29,811.509,0.49657,0.27403,0.96646,0.99192,0.98315,0.99434,0.89477,0.52337,0.27708,0.97244,0.000538,0.000538,0.000538
30,839.255,0.49441,0.27369,0.96644,0.99279,0.98207,0.99436,0.89261,0.52964,0.27739,0.97543,0.0005215,0.0005215,0.0005215
31,866.941,0.49429,0.27316,0.96653,0.99233,0.98326,0.99434,0.89479,0.52345,0.27644,0.97242,0.000505,0.000505,0.000505
32,894.714,0.49809,0.27412,0.96599,0.99252,0.98327,0.99442,0.89438,0.52446,0.27709,0.97162,0.0004885,0.0004885,0.0004885
33,922.413,0.49431,0.27362,0.96509,0.9918,0.98385,0.99437,0.89479,0.52355,0.277,0.97005,0.000472,0.000472,0.000472
34,950.662,0.49048,0.27153,0.96397,0.99082,0.9843,0.99439,0.89212,0.53111,0.27959,0.97332,0.0004555,0.0004555,0.0004555
35,978.792,0.48994,0.27234,0.9615,0.99235,0.98344,0.9944,0.8907,0.53845,0.2811,0.97511,0.000439,0.000439,0.000439
36,1006.64,0.49491,0.27307,0.96238,0.9921,0.98351,0.9944,0.88729,0.54987,0.28483,0.97961,0.0004225,0.0004225,0.0004225
37,1034.28,0.49808,0.27473,0.96219,0.99177,0.98409,0.99441,0.88811,0.54481,0.28068,0.97597,0.000406,0.000406,0.000406
38,1061.92,0.48584,0.26916,0.95522,0.99169,0.98404,0.99443,0.89104,0.53515,0.27832,0.97284,0.0003895,0.0003895,0.0003895
39,1089.55,0.48825,0.27113,0.961,0.99164,0.98385,0.99438,0.89314,0.5291,0.27743,0.97073,0.000373,0.000373,0.000373
40,1117.19,0.48283,0.26738,0.95686,0.99249,0.98315,0.99441,0.89542,0.52378,0.27527,0.96869,0.0003565,0.0003565,0.0003565
41,1144.82,0.48383,0.26873,0.95669,0.99203,0.98342,0.99438,0.89629,0.51939,0.27362,0.96703,0.00034,0.00034,0.00034
42,1172.53,0.48068,0.26679,0.95409,0.99221,0.98348,0.99437,0.89724,0.51806,0.27349,0.96799,0.0003235,0.0003235,0.0003235
43,1200.17,0.4809,0.26716,0.95467,0.99236,0.98344,0.99438,0.89809,0.51524,0.27229,0.96706,0.000307,0.000307,0.000307
44,1227.81,0.47976,0.26744,0.95429,0.992,0.98386,0.99441,0.89966,0.51016,0.27109,0.96458,0.0002905,0.0002905,0.0002905
45,1255.59,0.49192,0.27112,0.96035,0.99242,0.98413,0.99447,0.89556,0.52517,0.27479,0.96832,0.000274,0.000274,0.000274
46,1283.33,0.50177,0.27689,0.96107,0.99182,0.98432,0.99446,0.89405,0.52889,0.27655,0.97018,0.0002575,0.0002575,0.0002575
47,1310.93,0.49652,0.27238,0.95955,0.99175,0.98509,0.99449,0.90047,0.50881,0.27029,0.96235,0.000241,0.000241,0.000241
48,1338.6,0.48086,0.26686,0.95587,0.9925,0.98437,0.9945,0.90277,0.49955,0.26622,0.95942,0.0002245,0.0002245,0.0002245
49,1366.19,0.47437,0.264,0.95436,0.99245,0.98435,0.99449,0.90341,0.49756,0.26617,0.95883,0.000208,0.000208,0.000208
50,1393.77,0.47287,0.26385,0.95224,0.99245,0.98393,0.99448,0.90296,0.49998,0.26642,0.95979,0.0001915,0.0001915,0.0001915
51,1422.63,0.47064,0.26291,0.95053,0.99249,0.98416,0.99449,0.90278,0.50184,0.26684,0.95995,0.000175,0.000175,0.000175
52,1450.84,0.47224,0.26319,0.95182,0.99238,0.98471,0.99449,0.90323,0.49754,0.2656,0.95841,0.0001585,0.0001585,0.0001585
53,1479.03,0.46962,0.26258,0.95065,0.99217,0.98468,0.99449,0.9055,0.49151,0.26403,0.95616,0.000142,0.000142,0.000142
54,1507.01,0.46741,0.26124,0.94903,0.99258,0.98466,0.9945,0.90526,0.49006,0.26375,0.95594,0.0001255,0.0001255,0.0001255
55,1534.87,0.46824,0.26189,0.95133,0.99268,0.98437,0.99451,0.90448,0.4922,0.26415,0.95646,0.000109,0.000109,0.000109
56,1562.72,0.46437,0.26048,0.9479,0.99263,0.98414,0.9945,0.90488,0.491,0.26375,0.95609,9.25e-05,9.25e-05,9.25e-05
57,1590.73,0.46469,0.25987,0.94907,0.99222,0.98507,0.99452,0.90447,0.49058,0.26338,0.95593,7.6e-05,7.6e-05,7.6e-05
58,1618.79,0.46302,0.25941,0.94852,0.99212,0.98518,0.99452,0.90586,0.48842,0.26237,0.95538,5.95e-05,5.95e-05,5.95e-05
59,1646.66,0.46697,0.26192,0.95093,0.99236,0.9851,0.99453,0.90614,0.4873,0.26205,0.95479,4.3e-05,4.3e-05,4.3e-05
60,1674.96,0.46359,0.25971,0.94863,0.99246,0.98543,0.99453,0.90602,0.48732,0.26215,0.95486,2.65e-05,2.65e-05,2.65e-05
