epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9984,2.73126,1.80774,2.56364,0.08873,0.54309,0.18882,0.06067,2.97927,3.59204,2.37349,0.0805146,0.000357165,0.000357165
2,79.5279,1.74854,1.02613,1.69677,0.83682,0.74588,0.84395,0.41683,1.84809,1.02853,1.72624,0.0608692,0.000711704,0.000711704
3,119.333,1.46019,0.82528,1.46626,0.92554,0.8445,0.92698,0.58539,1.34316,0.74388,1.37274,0.0412182,0.00106076,0.00106076
4,159.209,1.32244,0.72486,1.36621,0.94768,0.87062,0.94658,0.6376,1.15458,0.6449,1.25032,0.0215618,0.00140433,0.00140433
5,198.669,1.23796,0.66889,1.30236,0.95233,0.89444,0.95694,0.65428,1.14097,0.61929,1.22207,0.0018999,0.00174242,0.00174242
6,235.807,1.17355,0.62765,1.26249,0.95024,0.90124,0.95849,0.64278,1.15257,0.60285,1.22149,0.00173146,0.00173146,0.00173146
7,275.096,1.08111,0.58472,1.20922,0.95564,0.90553,0.96391,0.67622,1.06871,0.57177,1.18028,0.00171775,0.00171775,0.00171775
8,310.479,1.0726,0.56743,1.19602,0.96451,0.93527,0.96979,0.65233,1.1783,0.54753,1.19158,0.00170405,0.00170405,0.00170405
9,349.712,1.01227,0.5345,1.16022,0.96588,0.93523,0.97618,0.7265,0.93778,0.5105,1.10249,0.00169034,0.00169034,0.00169034
10,388.95,0.98819,0.523,1.15033,0.97195,0.94207,0.97776,0.71622,0.9842,0.49577,1.10311,0.00167663,0.00167663,0.00167663
11,426.942,0.94121,0.50196,1.11789,0.97565,0.93832,0.9788,0.73811,0.91444,0.46617,1.07105,0.00166292,0.00166292,0.00166292
12,466.282,0.92622,0.49329,1.11083,0.97473,0.9486,0.97983,0.75593,0.85844,0.46023,1.04988,0.00164922,0.00164922,0.00164922
13,503.294,0.92781,0.48707,1.10809,0.96904,0.95138,0.98083,0.74262,0.88905,0.4725,1.05765,0.00163551,0.00163551,0.00163551
14,542.451,0.889,0.4713,1.08804,0.9726,0.94647,0.98124,0.77037,0.83947,0.4424,1.03915,0.0016218,0.0016218,0.0016218
15,579,0.85762,0.45676,1.07322,0.97533,0.95596,0.9816,0.76582,0.83555,0.44111,1.03167,0.00160809,0.00160809,0.00160809
16,618.35,0.86626,0.4542,1.07526,0.97737,0.95221,0.98246,0.76569,0.84806,0.42542,1.03383,0.00159438,0.00159438,0.00159438
17,657.243,0.84188,0.44658,1.06183,0.98064,0.96024,0.98423,0.78059,0.81296,0.41994,1.01805,0.00158068,0.00158068,0.00158068
18,694.905,0.82528,0.43738,1.05203,0.97758,0.9583,0.98558,0.80119,0.76353,0.39967,1.00009,0.00156697,0.00156697,0.00156697
19,734.453,0.80715,0.42958,1.04577,0.98032,0.95996,0.98499,0.78464,0.78851,0.40718,1.00334,0.00155326,0.00155326,0.00155326
20,771.047,0.79076,0.41851,1.03529,0.97909,0.96346,0.98535,0.79124,0.79287,0.40219,0.99997,0.00153955,0.00153955,0.00153955
21,810.379,0.79976,0.42171,1.03815,0.98465,0.96628,0.98765,0.8121,0.72799,0.38412,0.97318,0.00152585,0.00152585,0.00152585
22,846.32,0.79949,0.41998,1.03659,0.98301,0.9619,0.98499,0.79076,0.78562,0.3937,0.99533,0.00151214,0.00151214,0.00151214
23,885.422,0.78751,0.41633,1.03167,0.98511,0.96383,0.98629,0.81601,0.70638,0.37518,0.97081,0.00149843,0.00149843,0.00149843
24,924.758,0.76632,0.40694,1.02332,0.9847,0.96815,0.98851,0.81759,0.72062,0.37631,0.97104,0.00148472,0.00148472,0.00148472
25,962.021,0.75763,0.4012,1.01619,0.98227,0.96576,0.98522,0.81009,0.71761,0.37828,0.97401,0.00147102,0.00147102,0.00147102
26,1001.34,0.75593,0.40029,1.01442,0.98623,0.96901,0.98869,0.82213,0.7158,0.37413,0.96369,0.00145731,0.00145731,0.00145731
27,1036.7,0.74919,0.39696,1.00881,0.98676,0.96976,0.98908,0.83967,0.67313,0.35554,0.9505,0.0014436,0.0014436,0.0014436
28,1076.13,0.73249,0.39079,1.00459,0.98643,0.97113,0.99019,0.83121,0.68184,0.36187,0.94991,0.00142989,0.00142989,0.00142989
29,1115.07,0.72735,0.38557,0.99825,0.98783,0.97033,0.98709,0.82552,0.68255,0.35766,0.94729,0.00141618,0.00141618,0.00141618
30,1152.99,0.72398,0.38514,1.00044,0.98712,0.97113,0.99099,0.84047,0.65752,0.3496,0.94293,0.00140248,0.00140248,0.00140248
31,1192.21,0.71361,0.37948,0.99189,0.98756,0.96926,0.98948,0.84026,0.66417,0.35197,0.94724,0.00138877,0.00138877,0.00138877
32,1229.71,0.71808,0.37992,0.99404,0.98772,0.97416,0.99046,0.8424,0.6525,0.34195,0.93603,0.00137506,0.00137506,0.00137506
33,1268.88,0.69582,0.37242,0.98472,0.98617,0.97221,0.98939,0.83861,0.65179,0.34435,0.93828,0.00136135,0.00136135,0.00136135
34,1304.49,0.69778,0.37327,0.98467,0.98791,0.97388,0.98935,0.83706,0.66124,0.3481,0.93913,0.00134765,0.00134765,0.00134765
35,1343.26,0.69869,0.37308,0.98259,0.98679,0.97371,0.99106,0.82946,0.69028,0.35372,0.9456,0.00133394,0.00133394,0.00133394
36,1382.16,0.68558,0.36701,0.97801,0.99038,0.97328,0.99111,0.84512,0.64985,0.33796,0.93013,0.00132023,0.00132023,0.00132023
37,1419.06,0.67631,0.36209,0.97215,0.98852,0.97369,0.9906,0.84658,0.62618,0.33686,0.92176,0.00130652,0.00130652,0.00130652
38,1458.11,0.67698,0.36099,0.97471,0.98946,0.97551,0.99155,0.85646,0.61652,0.32844,0.92363,0.00129282,0.00129282,0.00129282
39,1492.65,0.6659,0.35779,0.97118,0.98968,0.9766,0.99217,0.8588,0.60278,0.32451,0.91626,0.00127911,0.00127911,0.00127911
40,1531.7,0.67254,0.35949,0.97015,0.99033,0.9738,0.99204,0.85453,0.63941,0.33066,0.92347,0.0012654,0.0012654,0.0012654
41,1570.84,0.65846,0.35446,0.96683,0.98976,0.97456,0.99212,0.84188,0.63792,0.33762,0.92669,0.00125169,0.00125169,0.00125169
42,1608.67,0.65795,0.35204,0.96521,0.98946,0.97639,0.99252,0.86187,0.6145,0.321,0.91264,0.00123798,0.00123798,0.00123798
43,1647.49,0.64423,0.34731,0.95599,0.98959,0.97831,0.99266,0.86668,0.60476,0.31852,0.91316,0.00122428,0.00122428,0.00122428
44,1685.66,0.64637,0.34677,0.95962,0.99135,0.97747,0.99302,0.86509,0.6003,0.31991,0.90985,0.00121057,0.00121057,0.00121057
45,1724.69,0.64164,0.34399,0.95769,0.98955,0.97722,0.99316,0.8698,0.58931,0.31484,0.90393,0.00119686,0.00119686,0.00119686
46,1760.87,0.63648,0.34242,0.95484,0.98998,0.97773,0.99325,0.86969,0.57759,0.3109,0.90176,0.00118315,0.00118315,0.00118315
47,1799.7,0.6352,0.34192,0.95149,0.9906,0.97786,0.9934,0.86821,0.58708,0.31094,0.90301,0.00116945,0.00116945,0.00116945
48,1838.95,0.6266,0.33821,0.94895,0.99032,0.97784,0.99353,0.87194,0.58617,0.31496,0.90392,0.00115574,0.00115574,0.00115574
49,1876.79,0.62711,0.3379,0.94837,0.99002,0.97982,0.99343,0.86789,0.57628,0.30827,0.8991,0.00114203,0.00114203,0.00114203
50,1916.18,0.61943,0.3362,0.94696,0.99002,0.97945,0.99312,0.86725,0.5851,0.31339,0.89824,0.00112832,0.00112832,0.00112832
51,1951.78,0.61993,0.33402,0.94576,0.99098,0.98028,0.99089,0.86693,0.57629,0.32493,0.8982,0.00111462,0.00111462,0.00111462
52,1990.79,0.61675,0.33159,0.9409,0.99024,0.97818,0.99339,0.87986,0.56879,0.30476,0.89664,0.00110091,0.00110091,0.00110091
53,2028.22,0.61573,0.33126,0.94179,0.99207,0.9794,0.99372,0.87913,0.5545,0.29816,0.88885,0.0010872,0.0010872,0.0010872
54,2067.34,0.60149,0.32678,0.93544,0.99272,0.98012,0.99372,0.88659,0.54776,0.29517,0.88771,0.00107349,0.00107349,0.00107349
55,2106.22,0.59696,0.32463,0.93701,0.99217,0.9792,0.99384,0.88362,0.55524,0.29663,0.88897,0.00105978,0.00105978,0.00105978
56,2130.36,0.59939,0.32367,0.93786,0.9929,0.97916,0.99338,0.87863,0.55666,0.29635,0.88784,0.00104608,0.00104608,0.00104608
57,2147.66,0.60169,0.32417,0.93628,0.99153,0.97985,0.99364,0.88417,0.55645,0.29854,0.8885,0.00103237,0.00103237,0.00103237
58,2165.07,0.59252,0.32013,0.93272,0.99175,0.98081,0.99395,0.88599,0.54382,0.29083,0.88575,0.00101866,0.00101866,0.00101866
59,2182.54,0.5879,0.31797,0.93301,0.99264,0.98215,0.99415,0.89145,0.53779,0.29082,0.88374,0.00100495,0.00100495,0.00100495
60,2200.42,0.59088,0.31879,0.93178,0.99263,0.98012,0.99397,0.8911,0.53578,0.28787,0.8832,0.000991246,0.000991246,0.000991246
61,2217.72,0.58319,0.31612,0.93005,0.99196,0.9808,0.99418,0.89179,0.53339,0.28503,0.88087,0.000977538,0.000977538,0.000977538
62,2235.5,0.58835,0.31723,0.9295,0.99207,0.98152,0.99428,0.88978,0.54208,0.28651,0.87925,0.000963831,0.000963831,0.000963831
63,2253.02,0.57942,0.31393,0.92587,0.99225,0.98178,0.99424,0.89422,0.5163,0.28016,0.87357,0.000950123,0.000950123,0.000950123
64,2270.79,0.5741,0.31195,0.92673,0.9936,0.98108,0.99429,0.8957,0.52453,0.28151,0.8761,0.000936415,0.000936415,0.000936415
65,2288.32,0.57485,0.31242,0.92474,0.99247,0.98069,0.99418,0.89433,0.52393,0.28081,0.87579,0.000922708,0.000922708,0.000922708
66,2305.9,0.57398,0.31127,0.92503,0.99349,0.98248,0.99438,0.89741,0.51631,0.27902,0.87189,0.000909,0.000909,0.000909
67,2323.6,0.56972,0.30814,0.92038,0.99327,0.98236,0.99437,0.89715,0.51036,0.27603,0.87016,0.000895292,0.000895292,0.000895292
68,2341.07,0.56211,0.30648,0.91986,0.99407,0.9823,0.99436,0.90498,0.50231,0.27205,0.86878,0.000881585,0.000881585,0.000881585
