epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.787,2.75182,1.87057,2.63607,0.04316,0.1505,0.02724,0.00762,3.44911,4.5432,2.90444,0.0804438,0.000317987,0.000317987
2,42.2256,1.78892,1.07051,1.81226,0.8291,0.70801,0.82385,0.40799,1.8751,1.05037,1.80226,0.0607575,0.000631671,0.000631671
3,62.164,1.44927,0.82677,1.53312,0.92729,0.82771,0.90619,0.52223,1.51004,0.77075,1.48828,0.0410648,0.000939019,0.000939019
4,81.9553,1.29429,0.71898,1.41183,0.93273,0.85015,0.9385,0.59307,1.33679,0.69961,1.3892,0.0213658,0.00124003,0.00124003
5,101.576,1.2284,0.66731,1.355,0.94456,0.87914,0.93972,0.58999,1.29374,0.6544,1.34288,0.00166049,0.00153471,0.00153471
6,121.079,1.19014,0.63524,1.3197,0.93747,0.87898,0.94086,0.58417,1.33625,0.6484,1.34378,0.0015208,0.0015208,0.0015208
7,140.48,1.10332,0.58926,1.26565,0.9547,0.91375,0.96505,0.66403,1.1088,0.58019,1.23722,0.00150496,0.00150496,0.00150496
8,160.102,1.07312,0.57094,1.24241,0.94937,0.90831,0.96505,0.66411,1.11966,0.59477,1.25029,0.00148912,0.00148912,0.00148912
9,179.635,1.01862,0.54133,1.20728,0.96088,0.93396,0.97176,0.71049,0.97778,0.53703,1.17161,0.00147328,0.00147328,0.00147328
10,199.1,1.00169,0.52892,1.19791,0.96349,0.92746,0.9709,0.71778,0.97974,0.50615,1.14943,0.00145744,0.00145744,0.00145744
11,218.563,0.96543,0.51001,1.17283,0.96398,0.9393,0.97596,0.70824,0.99285,0.51648,1.15483,0.0014416,0.0014416,0.0014416
12,237.909,0.95017,0.50315,1.16582,0.97116,0.94252,0.97743,0.7281,0.95243,0.49055,1.13604,0.00142576,0.00142576,0.00142576
13,257.317,0.9235,0.48897,1.14505,0.97206,0.94311,0.97584,0.72792,0.9786,0.48372,1.12857,0.00140992,0.00140992,0.00140992
14,276.623,0.91508,0.47854,1.13422,0.9696,0.9427,0.97725,0.74338,0.89654,0.46539,1.09965,0.00139408,0.00139408,0.00139408
15,296.059,0.88389,0.46586,1.11868,0.97642,0.95001,0.97834,0.74809,0.90634,0.46312,1.10498,0.00137824,0.00137824,0.00137824
16,315.425,0.874,0.45836,1.10963,0.97814,0.95268,0.9818,0.76056,0.87698,0.4415,1.0791,0.0013624,0.0013624,0.0013624
17,334.82,0.85889,0.45211,1.10497,0.97725,0.95465,0.98114,0.74756,0.89718,0.44965,1.08487,0.00134656,0.00134656,0.00134656
18,354.216,0.85163,0.44591,1.09854,0.97851,0.95672,0.98181,0.76537,0.85144,0.44737,1.07208,0.00133072,0.00133072,0.00133072
19,373.552,0.83169,0.43671,1.08551,0.98072,0.95955,0.98396,0.76929,0.8494,0.42772,1.06058,0.00131488,0.00131488,0.00131488
20,392.954,0.81965,0.43151,1.07936,0.97868,0.96074,0.9836,0.77506,0.8242,0.42719,1.06075,0.00129904,0.00129904,0.00129904
21,412.363,0.80379,0.42298,1.06926,0.97851,0.9596,0.98314,0.77154,0.8364,0.41974,1.06162,0.0012832,0.0012832,0.0012832
22,431.608,0.79651,0.42203,1.06677,0.98145,0.96139,0.98462,0.79682,0.7784,0.40448,1.03125,0.00126736,0.00126736,0.00126736
23,450.95,0.80411,0.41902,1.06687,0.98197,0.96255,0.98522,0.78973,0.78733,0.39537,1.0323,0.00125152,0.00125152,0.00125152
24,470.187,0.7739,0.406,1.05028,0.98073,0.96303,0.98454,0.79666,0.77035,0.39308,1.02628,0.00123568,0.00123568,0.00123568
25,489.537,0.7809,0.40728,1.05157,0.98231,0.96387,0.98521,0.807,0.74614,0.38297,1.01556,0.00121984,0.00121984,0.00121984
26,508.906,0.76277,0.39913,1.04609,0.98533,0.96766,0.98659,0.79376,0.78123,0.38695,1.02275,0.001204,0.001204,0.001204
27,528.157,0.75125,0.3965,1.03963,0.98179,0.96668,0.98557,0.80652,0.74679,0.38172,1.01096,0.00118816,0.00118816,0.00118816
28,547.564,0.7509,0.39335,1.03702,0.9835,0.96558,0.98548,0.78971,0.78901,0.39377,1.0239,0.00117232,0.00117232,0.00117232
29,566.703,0.74922,0.39217,1.03408,0.98446,0.96892,0.98699,0.80742,0.75923,0.37216,1.00997,0.00115648,0.00115648,0.00115648
30,585.995,0.73337,0.38656,1.0287,0.98591,0.96729,0.98673,0.80962,0.72322,0.37505,0.99993,0.00114064,0.00114064,0.00114064
31,605.375,0.73042,0.38287,1.02823,0.98475,0.97072,0.98742,0.79949,0.77545,0.37689,1.01673,0.0011248,0.0011248,0.0011248
32,624.594,0.72436,0.38064,1.01991,0.98683,0.97323,0.98829,0.82972,0.68299,0.35644,0.98093,0.00110896,0.00110896,0.00110896
33,643.932,0.7055,0.37506,1.01349,0.9863,0.97185,0.98702,0.81924,0.71855,0.36116,0.99279,0.00109312,0.00109312,0.00109312
34,663.032,0.70228,0.37099,1.01084,0.98608,0.9712,0.98904,0.82312,0.71571,0.36133,0.99012,0.00107728,0.00107728,0.00107728
35,682.13,0.69825,0.36813,1.00917,0.98709,0.97291,0.98946,0.82741,0.69917,0.35399,0.98263,0.00106144,0.00106144,0.00106144
36,701.455,0.70505,0.37052,1.01094,0.98699,0.97329,0.99008,0.82816,0.69709,0.35169,0.98569,0.0010456,0.0010456,0.0010456
37,720.717,0.69693,0.3674,1.00853,0.98711,0.97338,0.98862,0.82273,0.70672,0.35001,0.98493,0.00102976,0.00102976,0.00102976
38,740.04,0.6831,0.3612,0.99963,0.98822,0.97221,0.98893,0.816,0.7296,0.36059,0.99131,0.00101392,0.00101392,0.00101392
39,759.268,0.67951,0.3601,0.99547,0.9884,0.974,0.9881,0.81795,0.71277,0.35361,0.98443,0.00099808,0.00099808,0.00099808
40,778.489,0.68069,0.35973,0.99682,0.98907,0.97307,0.98935,0.83498,0.67997,0.34729,0.97355,0.00098224,0.00098224,0.00098224
41,797.786,0.67923,0.35714,0.99557,0.98813,0.97537,0.99045,0.82113,0.71699,0.34676,0.98346,0.0009664,0.0009664,0.0009664
42,817.006,0.66285,0.35052,0.99129,0.98829,0.97515,0.99103,0.84398,0.66793,0.3369,0.96759,0.00095056,0.00095056,0.00095056
43,836.284,0.65678,0.3486,0.98909,0.9892,0.97592,0.99195,0.84053,0.65757,0.33275,0.96219,0.00093472,0.00093472,0.00093472
44,855.428,0.65505,0.34848,0.98547,0.98769,0.976,0.98818,0.82559,0.68884,0.34143,0.97005,0.00091888,0.00091888,0.00091888
45,874.571,0.65483,0.34744,0.98374,0.98945,0.97747,0.99116,0.83486,0.67265,0.33275,0.96157,0.00090304,0.00090304,0.00090304
46,893.724,0.65025,0.34388,0.98084,0.98756,0.9782,0.99173,0.8357,0.6958,0.33656,0.97622,0.0008872,0.0008872,0.0008872
47,912.849,0.64141,0.34026,0.97561,0.98855,0.97804,0.99077,0.84797,0.64319,0.32451,0.9513,0.00087136,0.00087136,0.00087136
48,932.109,0.64189,0.34025,0.97684,0.98892,0.97839,0.99225,0.84818,0.64973,0.32312,0.95045,0.00085552,0.00085552,0.00085552
49,951.284,0.63039,0.33578,0.97075,0.98962,0.97855,0.99253,0.84968,0.63852,0.31986,0.94964,0.00083968,0.00083968,0.00083968
50,970.547,0.62683,0.33462,0.96682,0.98934,0.97906,0.99198,0.85012,0.62742,0.31755,0.94342,0.00082384,0.00082384,0.00082384
51,989.696,0.62736,0.33407,0.96944,0.9885,0.97903,0.99292,0.85164,0.62726,0.31599,0.94372,0.000808,0.000808,0.000808
52,1008.88,0.62412,0.33232,0.96885,0.98876,0.9789,0.99224,0.85513,0.63795,0.31884,0.94689,0.00079216,0.00079216,0.00079216
53,1028.25,0.62141,0.33113,0.96534,0.98927,0.97979,0.99254,0.85289,0.64421,0.31686,0.94853,0.00077632,0.00077632,0.00077632
54,1047.4,0.61439,0.32824,0.9639,0.98993,0.98056,0.99311,0.86337,0.61209,0.31091,0.93637,0.00076048,0.00076048,0.00076048
55,1066.69,0.60479,0.32264,0.95979,0.98846,0.97879,0.99241,0.86248,0.61699,0.31117,0.94095,0.00074464,0.00074464,0.00074464
56,1085.79,0.60819,0.32444,0.95902,0.99001,0.97911,0.99308,0.85961,0.63812,0.31175,0.94317,0.0007288,0.0007288,0.0007288
57,1104.87,0.60446,0.32316,0.95901,0.98959,0.98036,0.993,0.86791,0.58888,0.30531,0.92877,0.00071296,0.00071296,0.00071296
58,1124.13,0.59993,0.32068,0.95576,0.98986,0.97955,0.9932,0.85731,0.62095,0.30841,0.93561,0.00069712,0.00069712,0.00069712
59,1143.17,0.5945,0.3181,0.95495,0.99154,0.97924,0.99344,0.86233,0.62362,0.30675,0.937,0.00068128,0.00068128,0.00068128
60,1162.33,0.59232,0.31713,0.95099,0.98958,0.98166,0.99328,0.8692,0.59684,0.30245,0.92911,0.00066544,0.00066544,0.00066544
61,1181.48,0.58967,0.31514,0.94959,0.98956,0.98074,0.99348,0.87626,0.59105,0.29966,0.92856,0.0006496,0.0006496,0.0006496
62,1200.6,0.58167,0.31319,0.94432,0.99153,0.98025,0.99352,0.87878,0.57796,0.29675,0.91973,0.00063376,0.00063376,0.00063376
63,1219.77,0.58448,0.31222,0.94774,0.99171,0.98067,0.99362,0.87522,0.58785,0.29693,0.92383,0.00061792,0.00061792,0.00061792
64,1238.8,0.58,0.31047,0.94483,0.99087,0.98194,0.99376,0.87208,0.59488,0.29381,0.92374,0.00060208,0.00060208,0.00060208
65,1257.89,0.58021,0.30987,0.94422,0.99187,0.98111,0.99382,0.87434,0.58805,0.29482,0.92124,0.00058624,0.00058624,0.00058624
66,1276.92,0.57226,0.30746,0.9408,0.99133,0.98334,0.99387,0.88161,0.56031,0.28672,0.91356,0.0005704,0.0005704,0.0005704
67,1296.16,0.56254,0.30358,0.93573,0.99191,0.98264,0.99391,0.88348,0.56269,0.2861,0.91204,0.00055456,0.00055456,0.00055456
68,1315.41,0.56589,0.30538,0.93934,0.99113,0.98284,0.99386,0.88809,0.55713,0.28436,0.91141,0.00053872,0.00053872,0.00053872
69,1334.6,0.56001,0.30304,0.93561,0.99238,0.98235,0.99397,0.8808,0.57318,0.28876,0.91458,0.00052288,0.00052288,0.00052288
70,1353.71,0.56057,0.30209,0.93509,0.99093,0.98228,0.99383,0.8713,0.59239,0.29302,0.92061,0.00050704,0.00050704,0.00050704
71,1372.83,0.55047,0.29875,0.93313,0.99227,0.98173,0.99384,0.87823,0.58282,0.29041,0.91767,0.0004912,0.0004912,0.0004912
72,1392.04,0.54854,0.29747,0.93006,0.99259,0.98265,0.99393,0.88362,0.5582,0.28322,0.90996,0.00047536,0.00047536,0.00047536
73,1411.19,0.5446,0.29587,0.92886,0.99225,0.98261,0.99381,0.8829,0.56549,0.28544,0.90973,0.00045952,0.00045952,0.00045952
74,1430.33,0.54044,0.29369,0.92633,0.99225,0.98214,0.99396,0.88662,0.54414,0.28045,0.90427,0.00044368,0.00044368,0.00044368
75,1449.51,0.53952,0.29378,0.92842,0.99266,0.98217,0.99386,0.88237,0.55189,0.28026,0.9055,0.00042784,0.00042784,0.00042784
76,1469.61,0.50441,0.274,0.90506,0.99254,0.98274,0.99391,0.87861,0.5584,0.28431,0.90529,0.000412,0.000412,0.000412
77,1488.83,0.50211,0.27325,0.90101,0.9925,0.98354,0.99409,0.88127,0.54561,0.28185,0.90302,0.00039616,0.00039616,0.00039616
78,1507.96,0.49471,0.26999,0.89984,0.99281,0.98348,0.99423,0.88346,0.55302,0.27906,0.90248,0.00038032,0.00038032,0.00038032
79,1527.08,0.48368,0.26682,0.89626,0.9936,0.98341,0.99432,0.88651,0.53962,0.27477,0.89814,0.00036448,0.00036448,0.00036448
80,1546.23,0.48085,0.26514,0.89628,0.99252,0.98382,0.99428,0.88933,0.53585,0.27292,0.89759,0.00034864,0.00034864,0.00034864
81,1565.43,0.48152,0.2662,0.89713,0.99292,0.9837,0.99438,0.88511,0.55371,0.27804,0.90029,0.0003328,0.0003328,0.0003328
82,1584.59,0.47778,0.26446,0.8935,0.99357,0.98416,0.99438,0.88324,0.55256,0.27837,0.89998,0.00031696,0.00031696,0.00031696
83,1603.71,0.47742,0.26473,0.89452,0.99306,0.98481,0.99441,0.89257,0.52697,0.27248,0.8933,0.00030112,0.00030112,0.00030112
84,1622.85,0.47448,0.263,0.89427,0.99437,0.98454,0.9945,0.88443,0.55173,0.27734,0.89851,0.00028528,0.00028528,0.00028528
85,1641.97,0.46187,0.25731,0.89088,0.99333,0.98435,0.9945,0.88797,0.53359,0.27183,0.89492,0.00026944,0.00026944,0.00026944
86,1660.99,0.45412,0.255,0.88611,0.99292,0.98481,0.99448,0.89301,0.52661,0.26941,0.89108,0.0002536,0.0002536,0.0002536
87,1680.11,0.45467,0.25622,0.88653,0.99332,0.98494,0.99448,0.89148,0.53217,0.27099,0.89215,0.00023776,0.00023776,0.00023776
88,1699.15,0.45255,0.2544,0.88437,0.99336,0.98467,0.99447,0.89961,0.50371,0.26245,0.88358,0.00022192,0.00022192,0.00022192
89,1718.26,0.45115,0.25469,0.88618,0.99409,0.98486,0.99448,0.89564,0.51821,0.26549,0.88714,0.00020608,0.00020608,0.00020608
