epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0804,0.6924,0.36276,1.07264,0.98808,0.98204,0.99385,0.87514,0.57137,0.29994,0.99628,0.087664,0.000124606,0.000124606
2,60.5786,0.592,0.31235,1.00988,0.98984,0.9823,0.99412,0.88679,0.54946,0.29107,0.98573,0.0752849,0.000245487,0.000245487
3,89.4378,0.57604,0.30672,1.00613,0.99062,0.98285,0.99428,0.89334,0.53535,0.28505,0.9783,0.0629017,0.000362244,0.000362244
4,118.14,0.56712,0.3038,1.00258,0.99082,0.98302,0.99429,0.89297,0.53296,0.28517,0.97695,0.0505143,0.000474875,0.000474875
5,146.516,0.55231,0.29868,0.99423,0.9923,0.98234,0.99435,0.89704,0.52856,0.28161,0.97403,0.0381228,0.000583382,0.000583382
6,174.861,0.53849,0.29365,0.9878,0.99192,0.98305,0.99437,0.89917,0.52196,0.27885,0.97052,0.0257272,0.000687763,0.000687763
7,202.886,0.53282,0.29078,0.98523,0.99195,0.9836,0.9944,0.89811,0.52301,0.2785,0.97071,0.0133275,0.00078802,0.00078802
8,230.587,0.52682,0.28922,0.98316,0.99192,0.98372,0.99441,0.89949,0.52018,0.27698,0.96933,0.000923583,0.000884151,0.000884151
9,258.354,0.50955,0.28259,0.97,0.99161,0.98391,0.99442,0.9004,0.51943,0.27588,0.96911,0.000868,0.000868,0.000868
10,286.387,0.50321,0.27875,0.9676,0.99131,0.98432,0.99445,0.89952,0.52334,0.27694,0.97039,0.0008515,0.0008515,0.0008515
11,314.438,0.50599,0.28016,0.97182,0.99176,0.98524,0.99452,0.90179,0.5153,0.27339,0.96598,0.000835,0.000835,0.000835
12,342.612,0.49875,0.27787,0.96562,0.99224,0.98466,0.99452,0.90238,0.5162,0.27332,0.96541,0.0008185,0.0008185,0.0008185
13,370.473,0.49001,0.27349,0.96104,0.99201,0.98475,0.99453,0.9043,0.50961,0.27073,0.96211,0.000802,0.000802,0.000802
14,398.283,0.48937,0.27279,0.96107,0.99271,0.98476,0.99453,0.90577,0.50779,0.27006,0.96109,0.0007855,0.0007855,0.0007855
15,426.079,0.48879,0.27348,0.96293,0.99226,0.98559,0.99454,0.9047,0.50547,0.26889,0.96054,0.000769,0.000769,0.000769
16,453.822,0.48454,0.27114,0.95926,0.99199,0.98574,0.9945,0.90338,0.51171,0.27161,0.96254,0.0007525,0.0007525,0.0007525
17,481.555,0.47157,0.26517,0.95164,0.9927,0.98603,0.99458,0.9057,0.50381,0.26864,0.959,0.000736,0.000736,0.000736
