epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7129,0.64862,0.34608,1.03424,0.99277,0.98334,0.99455,0.90123,0.52574,0.28654,0.95685,0.0672738,0.000397484,0.000397484
2,43.6604,0.5799,0.31257,0.99312,0.99127,0.98168,0.99436,0.88673,0.56703,0.30138,0.97742,0.0343326,0.000789589,0.000789589
3,64.5559,0.55275,0.302,0.98084,0.97638,0.96644,0.99067,0.8641,0.62472,0.33099,1.00924,0.00138342,0.00117377,0.00117377
4,85.2376,0.54225,0.29898,0.97731,0.99272,0.98204,0.99449,0.89297,0.55281,0.28966,0.96984,0.00116436,0.00116436,0.00116436
5,105.849,0.52099,0.28891,0.96552,0.99077,0.98111,0.99436,0.89133,0.55908,0.29159,0.97469,0.00115248,0.00115248,0.00115248
6,126.634,0.50113,0.28108,0.95195,0.99154,0.98154,0.99446,0.89049,0.56227,0.29198,0.97154,0.0011406,0.0011406,0.0011406
7,147.468,0.48683,0.27442,0.94403,0.99394,0.98645,0.99479,0.91637,0.4838,0.2641,0.93434,0.00112872,0.00112872,0.00112872
8,168.281,0.47922,0.27248,0.94081,0.99334,0.98597,0.99473,0.91146,0.49716,0.26954,0.94088,0.00111684,0.00111684,0.00111684
9,188.868,0.46949,0.26748,0.93357,0.99474,0.98597,0.99478,0.91725,0.47906,0.26113,0.9319,0.00110496,0.00110496,0.00110496
10,209.704,0.47369,0.2691,0.93938,0.99431,0.9871,0.99478,0.91657,0.47971,0.2599,0.93289,0.00109308,0.00109308,0.00109308
11,230.429,0.46742,0.26604,0.9361,0.99416,0.98774,0.99482,0.92055,0.46787,0.25633,0.92722,0.0010812,0.0010812,0.0010812
12,251.407,0.46175,0.26315,0.93231,0.9933,0.98716,0.99478,0.91473,0.48751,0.26341,0.9351,0.00106932,0.00106932,0.00106932
13,272.091,0.45303,0.25975,0.92708,0.99294,0.98751,0.9948,0.91826,0.47848,0.25718,0.93094,0.00105744,0.00105744,0.00105744
14,292.676,0.45121,0.25903,0.92558,0.99255,0.9852,0.99464,0.90627,0.52326,0.27497,0.95306,0.00104556,0.00104556,0.00104556
15,313.329,0.45399,0.26037,0.92964,0.99177,0.98677,0.99473,0.91082,0.50679,0.26684,0.94434,0.00103368,0.00103368,0.00103368
16,333.914,0.44293,0.25625,0.92031,0.99258,0.98782,0.99479,0.91671,0.47804,0.25893,0.93142,0.0010218,0.0010218,0.0010218
17,354.439,0.44229,0.25505,0.92127,0.9945,0.98624,0.99479,0.91721,0.48192,0.25906,0.93252,0.00100992,0.00100992,0.00100992
18,375.089,0.43796,0.25378,0.91932,0.99309,0.98659,0.99476,0.91529,0.48687,0.25987,0.93461,0.00099804,0.00099804,0.00099804
19,395.758,0.43413,0.25145,0.91745,0.99572,0.98838,0.99486,0.9257,0.44789,0.24758,0.91739,0.00098616,0.00098616,0.00098616
20,416.577,0.42754,0.24847,0.91336,0.99388,0.9886,0.99484,0.92099,0.46427,0.25269,0.92451,0.00097428,0.00097428,0.00097428
21,437.213,0.43061,0.2495,0.9153,0.99463,0.98867,0.99486,0.92349,0.4549,0.2483,0.92148,0.0009624,0.0009624,0.0009624
22,457.867,0.43196,0.25027,0.91665,0.99481,0.9892,0.99487,0.92563,0.44692,0.24674,0.91906,0.00095052,0.00095052,0.00095052
23,478.459,0.42967,0.24938,0.9156,0.9954,0.98899,0.99489,0.92617,0.44199,0.24524,0.9196,0.00093864,0.00093864,0.00093864
24,499.406,0.42593,0.2474,0.91231,0.99525,0.98738,0.99486,0.9232,0.45449,0.24954,0.9271,0.00092676,0.00092676,0.00092676
25,520.141,0.42752,0.24845,0.914,0.99271,0.98831,0.99484,0.9118,0.49361,0.26175,0.94565,0.00091488,0.00091488,0.00091488
26,540.865,0.42676,0.24808,0.91304,0.99519,0.98883,0.99488,0.92341,0.4554,0.24991,0.92419,0.000903,0.000903,0.000903
27,561.847,0.4211,0.24538,0.90807,0.99528,0.98906,0.99488,0.92418,0.45389,0.24797,0.92227,0.00089112,0.00089112,0.00089112
28,582.474,0.42245,0.24513,0.90894,0.99523,0.98878,0.99487,0.92649,0.44349,0.24492,0.91627,0.00087924,0.00087924,0.00087924
29,603.306,0.42242,0.24606,0.91212,0.99602,0.98849,0.99489,0.9289,0.435,0.24062,0.91091,0.00086736,0.00086736,0.00086736
30,624.088,0.41506,0.24295,0.90696,0.99559,0.98912,0.99488,0.92827,0.43769,0.24199,0.91187,0.00085548,0.00085548,0.00085548
31,644.738,0.41619,0.24222,0.90585,0.99497,0.99028,0.9949,0.92914,0.43846,0.24255,0.91153,0.0008436,0.0008436,0.0008436
32,665.535,0.41446,0.24208,0.90562,0.99596,0.98924,0.99489,0.93067,0.43009,0.23842,0.90942,0.00083172,0.00083172,0.00083172
33,686.366,0.41048,0.24075,0.90474,0.9942,0.99005,0.99488,0.92916,0.43848,0.24095,0.91159,0.00081984,0.00081984,0.00081984
34,707.049,0.40798,0.23951,0.90168,0.99521,0.9901,0.9949,0.93194,0.42651,0.23675,0.90671,0.00080796,0.00080796,0.00080796
35,727.871,0.40917,0.23972,0.90233,0.99437,0.98981,0.99489,0.92911,0.43645,0.23868,0.91002,0.00079608,0.00079608,0.00079608
36,748.476,0.40614,0.23851,0.90067,0.99495,0.9898,0.99489,0.93228,0.42735,0.23643,0.90651,0.0007842,0.0007842,0.0007842
37,769.119,0.40588,0.23855,0.9001,0.99482,0.98953,0.99488,0.92663,0.44635,0.24103,0.91396,0.00077232,0.00077232,0.00077232
38,789.854,0.40223,0.2363,0.89892,0.99526,0.99,0.9949,0.93307,0.42235,0.23469,0.90486,0.00076044,0.00076044,0.00076044
39,812.274,0.40313,0.23784,0.89973,0.99495,0.98991,0.99489,0.93168,0.42941,0.2372,0.90653,0.00074856,0.00074856,0.00074856
