epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8364,2.83066,1.96954,2.72544,0,0,0,0,3.41662,5.37533,2.89786,0.080475,0.00031748,0.00031748
2,39.6185,1.84936,1.11905,1.85117,0.83237,0.70556,0.81636,0.42465,1.771,1.06432,1.7113,0.0607844,0.000626962,0.000626962
3,59.171,1.52546,0.87691,1.58077,0.88845,0.7822,0.87607,0.50649,1.57221,0.8753,1.54828,0.0410834,0.000925883,0.000925883
4,78.4976,1.34496,0.75084,1.44004,0.91993,0.84056,0.9266,0.59833,1.29162,0.71176,1.36921,0.0213717,0.00121425,0.00121425
5,97.8157,1.27166,0.68987,1.37557,0.94255,0.86946,0.9457,0.60827,1.28331,0.69279,1.35071,0.00164953,0.00149205,0.00149205
6,116.937,1.17826,0.6382,1.31459,0.93612,0.89143,0.95325,0.64504,1.17158,0.64115,1.28329,0.001468,0.001468,0.001468
7,136.038,1.14907,0.61549,1.2889,0.95402,0.89637,0.95854,0.65738,1.13347,0.5852,1.24596,0.0014416,0.0014416,0.0014416
8,155.13,1.0794,0.57694,1.24444,0.95633,0.9073,0.96476,0.68212,1.0776,0.5581,1.21662,0.0014152,0.0014152,0.0014152
9,174.103,1.02401,0.54659,1.205,0.95601,0.91821,0.96952,0.68815,1.07219,0.54421,1.2049,0.0013888,0.0013888,0.0013888
10,193.315,0.98752,0.52635,1.18336,0.96409,0.92723,0.97031,0.70248,0.99851,0.52936,1.16476,0.0013624,0.0013624,0.0013624
11,212.365,0.96522,0.511,1.16586,0.97188,0.93264,0.97252,0.71319,0.9897,0.50382,1.14645,0.001336,0.001336,0.001336
12,231.554,0.94203,0.49885,1.14956,0.96936,0.93697,0.97336,0.70367,1.02559,0.51975,1.15959,0.0013096,0.0013096,0.0013096
13,250.476,0.91072,0.48407,1.13318,0.97285,0.94531,0.97819,0.74318,0.90025,0.46718,1.0966,0.0012832,0.0012832,0.0012832
14,269.521,0.90248,0.47626,1.12647,0.97044,0.94617,0.97624,0.73353,0.92419,0.49262,1.11338,0.0012568,0.0012568,0.0012568
15,288.421,0.86399,0.46049,1.1043,0.97397,0.94538,0.97816,0.76122,0.87304,0.45945,1.08257,0.0012304,0.0012304,0.0012304
16,307.419,0.86676,0.46187,1.10305,0.97429,0.95027,0.97791,0.72903,0.94984,0.46792,1.10785,0.001204,0.001204,0.001204
17,326.292,0.84996,0.44956,1.0918,0.97618,0.95244,0.98117,0.75352,0.88895,0.44341,1.08137,0.0011776,0.0011776,0.0011776
18,345.185,0.82702,0.43727,1.08247,0.97559,0.95416,0.98191,0.74633,0.92052,0.44347,1.08773,0.0011512,0.0011512,0.0011512
19,364.041,0.8061,0.42776,1.06937,0.97896,0.95755,0.98265,0.76828,0.83642,0.43416,1.05759,0.0011248,0.0011248,0.0011248
20,383.03,0.80818,0.42809,1.06841,0.98142,0.95701,0.98316,0.75677,0.87966,0.43086,1.06925,0.0010984,0.0010984,0.0010984
21,401.963,0.7971,0.42092,1.06137,0.98272,0.95752,0.98334,0.78548,0.79838,0.41009,1.03771,0.001072,0.001072,0.001072
22,420.884,0.77829,0.41178,1.05077,0.98368,0.96219,0.98448,0.77563,0.83008,0.40682,1.04283,0.0010456,0.0010456,0.0010456
23,439.786,0.77075,0.40671,1.04596,0.98312,0.96107,0.98447,0.79398,0.77133,0.3946,1.02514,0.0010192,0.0010192,0.0010192
24,458.678,0.75155,0.40011,1.03587,0.98244,0.96591,0.98517,0.79401,0.76766,0.3987,1.02024,0.0009928,0.0009928,0.0009928
25,477.59,0.75152,0.39802,1.03972,0.98347,0.96587,0.98545,0.80244,0.75453,0.38997,1.01156,0.0009664,0.0009664,0.0009664
26,496.572,0.75072,0.39739,1.03465,0.98391,0.96184,0.98454,0.77757,0.82572,0.40546,1.0344,0.00094,0.00094,0.00094
