epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.733,0.56226,0.30498,0.96728,0,0,0,0,0,0,0,0.0901835,8.91509e-05,8.91509e-05
2,19.5945,0.53354,0.29467,0.95507,0,0,0,0,0,0,0,0.0802664,0.000172057,0.000172057
3,28.3512,0.52238,0.29094,0.95307,0,0,0,0,0,0,0,0.0703422,0.000247834,0.000247834
4,37.0139,0.51838,0.28971,0.95265,0,0,0,0,0,0,0,0.0604108,0.000316484,0.000316484
5,45.4164,0.51551,0.28852,0.94946,0,0,0,0,0,0,0,0.0504723,0.000378005,0.000378005
6,53.7868,0.50584,0.28598,0.94591,0,0,0,0,0,0,0,0.0405267,0.000432399,0.000432399
7,62.0649,0.5016,0.28473,0.94293,0,0,0,0,0,0,0,0.030574,0.000479665,0.000479665
8,70.3837,0.50393,0.28566,0.94442,0,0,0,0,0,0,0,0.0206141,0.000519802,0.000519802
9,78.5333,0.49382,0.28157,0.93867,0,0,0,0,0,0,0,0.0106472,0.000552812,0.000552812
10,86.6637,0.49178,0.28075,0.93721,0,0,0,0,0,0,0,0.000673033,0.000578694,0.000578694
11,94.8342,0.49572,0.28257,0.93966,0,0,0,0,0,0,0,0.0005436,0.0005436,0.0005436
12,102.925,0.49362,0.2818,0.93952,0,0,0,0,0,0,0,0.00050796,0.00050796,0.00050796
13,111.009,0.48995,0.28051,0.93704,0,0,0,0,0,0,0,0.00047232,0.00047232,0.00047232
14,119.128,0.48579,0.27886,0.93516,0,0,0,0,0,0,0,0.00043668,0.00043668,0.00043668
15,127.271,0.48348,0.27822,0.9362,0,0,0,0,0,0,0,0.00040104,0.00040104,0.00040104
16,136.594,0.47932,0.27627,0.93202,0,0,0,0,0,0,0,0.0003654,0.0003654,0.0003654
17,144.725,0.47815,0.27554,0.9303,0,0,0,0,0,0,0,0.00032976,0.00032976,0.00032976
18,152.856,0.47876,0.2763,0.93051,0,0,0,0,0,0,0,0.00029412,0.00029412,0.00029412
19,161.027,0.47736,0.27574,0.92986,0,0,0,0,0,0,0,0.00025848,0.00025848,0.00025848
20,169.237,0.48002,0.27599,0.93123,0,0,0,0,0,0,0,0.00022284,0.00022284,0.00022284
21,177.358,0.47528,0.27462,0.93078,0,0,0,0,0,0,0,0.0001872,0.0001872,0.0001872
22,185.489,0.47303,0.27266,0.92762,0,0,0,0,0,0,0,0.00015156,0.00015156,0.00015156
23,193.591,0.47421,0.27362,0.92889,0,0,0,0,0,0,0,0.00011592,0.00011592,0.00011592
24,201.75,0.47615,0.27434,0.93048,0,0,0,0,0,0,0,8.028e-05,8.028e-05,8.028e-05
25,219.283,0.47308,0.27334,0.93044,0.99091,0.98383,0.99421,0.90015,0.50206,0.27461,0.92997,4.464e-05,4.464e-05,4.464e-05
