epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9402,0.74321,0.39264,1.07302,0,0,0,0,0,0,0,0.0901835,8.91509e-05,8.91509e-05
2,19.8366,0.70907,0.37878,1.05683,0,0,0,0,0,0,0,0.0802676,0.000173239,0.000173239
3,28.6015,0.69298,0.3727,1.0512,0,0,0,0,0,0,0,0.0703457,0.000251387,0.000251387
4,37.2811,0.68507,0.36847,1.04874,0,0,0,0,0,0,0,0.0604179,0.000323595,0.000323595
5,45.7033,0.67943,0.36609,1.04459,0,0,0,0,0,0,0,0.0504842,0.000389863,0.000389863
6,54.0768,0.66886,0.36213,1.03973,0,0,0,0,0,0,0,0.0405445,0.000450191,0.000450191
7,62.374,0.65967,0.35856,1.03436,0,0,0,0,0,0,0,0.0305989,0.000504579,0.000504579
8,70.6985,0.66071,0.35869,1.03549,0,0,0,0,0,0,0,0.0206474,0.000553027,0.000553027
9,78.8877,0.64992,0.35527,1.02824,0,0,0,0,0,0,0,0.0106899,0.000595535,0.000595535
10,87.0446,0.64349,0.35296,1.02428,0,0,0,0,0,0,0,0.000726443,0.000632103,0.000632103
11,95.1916,0.64425,0.35224,1.02566,0,0,0,0,0,0,0,0.000603,0.000603,0.000603
12,103.436,0.64064,0.35041,1.02516,0,0,0,0,0,0,0,0.0005733,0.0005733,0.0005733
13,111.578,0.63462,0.34754,1.02026,0,0,0,0,0,0,0,0.0005436,0.0005436,0.0005436
14,119.741,0.63225,0.34646,1.01927,0,0,0,0,0,0,0,0.0005139,0.0005139,0.0005139
15,127.891,0.6285,0.34641,1.01938,0,0,0,0,0,0,0,0.0004842,0.0004842,0.0004842
16,136.122,0.62721,0.34495,1.01758,0,0,0,0,0,0,0,0.0004545,0.0004545,0.0004545
17,144.35,0.62304,0.34383,1.01013,0,0,0,0,0,0,0,0.0004248,0.0004248,0.0004248
18,152.62,0.62338,0.34394,1.01238,0,0,0,0,0,0,0,0.0003951,0.0003951,0.0003951
19,160.829,0.62108,0.3431,1.01115,0,0,0,0,0,0,0,0.0003654,0.0003654,0.0003654
20,169.064,0.61631,0.34128,1.00802,0,0,0,0,0,0,0,0.0003357,0.0003357,0.0003357
21,178.297,0.61534,0.34112,1.00846,0,0,0,0,0,0,0,0.000306,0.000306,0.000306
22,186.389,0.61092,0.33981,1.00545,0,0,0,0,0,0,0,0.0002763,0.0002763,0.0002763
23,194.482,0.61081,0.33997,1.0059,0,0,0,0,0,0,0,0.0002466,0.0002466,0.0002466
24,202.688,0.60983,0.33808,1.00626,0,0,0,0,0,0,0,0.0002169,0.0002169,0.0002169
25,210.772,0.60985,0.33784,1.00631,0,0,0,0,0,0,0,0.0001872,0.0001872,0.0001872
26,218.879,0.60655,0.33627,1.00499,0,0,0,0,0,0,0,0.0001575,0.0001575,0.0001575
27,227.033,0.60511,0.33596,1.00303,0,0,0,0,0,0,0,0.0001278,0.0001278,0.0001278
28,235.169,0.60518,0.33533,1.00356,0,0,0,0,0,0,0,9.81e-05,9.81e-05,9.81e-05
29,243.388,0.60445,0.33528,1.00483,0,0,0,0,0,0,0,6.84e-05,6.84e-05,6.84e-05
30,261.052,0.6031,0.33404,1.0047,0.98623,0.97154,0.99101,0.85289,0.63106,0.33536,1.00374,3.87e-05,3.87e-05,3.87e-05
