epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0001,0.67998,0.37171,1.03471,0,0,0,0,0,0,0,0.0917783,3.30189e-05,3.30189e-05
2,20.2814,0.67203,0.36625,1.02659,0,0,0,0,0,0,0,0.0834756,6.36152e-05,6.36152e-05
3,29.2173,0.66807,0.36195,1.02475,0,0,0,0,0,0,0,0.0751701,9.14615e-05,9.14615e-05
4,38.213,0.6685,0.36343,1.0258,0,0,0,0,0,0,0,0.0668618,0.000116558,0.000116558
5,46.8433,0.68242,0.36754,1.02948,0,0,0,0,0,0,0,0.0585509,0.000138904,0.000138904
6,55.459,0.69362,0.36817,1.03235,0,0,0,0,0,0,0,0.0502371,0.0001585,0.0001585
7,64.0609,0.7084,0.37158,1.03758,0,0,0,0,0,0,0,0.0419206,0.000175347,0.000175347
8,72.4338,0.71845,0.37558,1.04346,0,0,0,0,0,0,0,0.0336014,0.000189443,0.000189443
9,80.7908,0.69695,0.36856,1.02973,0,0,0,0,0,0,0,0.0252794,0.000200789,0.000200789
10,89.1244,0.71472,0.37436,1.04478,0,0,0,0,0,0,0,0.0169547,0.000209386,0.000209386
11,97.4495,0.73395,0.37844,1.0539,0,0,0,0,0,0,0,0.00862718,0.000215232,0.000215232
12,105.721,0.72574,0.379,1.04524,0,0,0,0,0,0,0,0.000296945,0.000218328,0.000218328
13,114.031,0.71613,0.37285,1.03955,0,0,0,0,0,0,0,0.000202,0.000202,0.000202
14,122.404,0.73702,0.37736,1.04546,0,0,0,0,0,0,0,0.0001855,0.0001855,0.0001855
15,131.841,0.74457,0.37993,1.0512,0,0,0,0,0,0,0,0.000169,0.000169,0.000169
16,140.16,0.74092,0.37928,1.05307,0,0,0,0,0,0,0,0.0001525,0.0001525,0.0001525
17,148.446,0.71066,0.364,1.03878,0,0,0,0,0,0,0,0.000136,0.000136,0.000136
18,156.838,0.66804,0.35174,1.01406,0,0,0,0,0,0,0,0.0001195,0.0001195,0.0001195
19,165.122,0.6742,0.35032,1.01898,0,0,0,0,0,0,0,0.000103,0.000103,0.000103
20,173.377,0.67608,0.34796,1.01719,0,0,0,0,0,0,0,8.65e-05,8.65e-05,8.65e-05
21,181.619,0.62507,0.3328,0.99448,0,0,0,0,0,0,0,7e-05,7e-05,7e-05
22,189.971,0.6123,0.32836,0.99365,0,0,0,0,0,0,0,5.35e-05,5.35e-05,5.35e-05
23,198.23,0.57648,0.31828,0.98001,0,0,0,0,0,0,0,3.7e-05,3.7e-05,3.7e-05
24,216.114,0.56589,0.31366,0.97739,0.98822,0.97758,0.99287,0.87217,0.5774,0.31242,0.97182,2.05e-05,2.05e-05,2.05e-05
