epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0885,0.6147,0.34238,0.9968,0,0,0,0,0,0,0,0.0917742,2.88915e-05,2.88915e-05
2,20.4097,0.60318,0.33447,0.98777,0,0,0,0,0,0,0,0.0834681,5.61423e-05,5.61423e-05
3,29.4326,0.59586,0.32962,0.98567,0,0,0,0,0,0,0,0.0751601,8.1468e-05,8.1468e-05
4,38.504,0.59911,0.33164,0.9876,0,0,0,0,0,0,0,0.0668502,0.000104869,0.000104869
5,47.1837,0.61245,0.33569,0.99012,0,0,0,0,0,0,0,0.0585383,0.000126344,0.000126344
6,55.8249,0.61863,0.33613,0.99124,0,0,0,0,0,0,0,0.0502245,0.000145895,0.000145895
7,64.4732,0.63935,0.34251,0.99976,0,0,0,0,0,0,0,0.0419088,0.000163521,0.000163521
8,72.9058,0.6573,0.34779,1.00765,0,0,0,0,0,0,0,0.0335912,0.000179222,0.000179222
9,81.3259,0.63953,0.3449,0.99642,0,0,0,0,0,0,0,0.0252716,0.000192997,0.000192997
10,89.7405,0.65602,0.34916,1.00752,0,0,0,0,0,0,0,0.0169501,0.000204848,0.000204848
11,98.1467,0.67006,0.35169,1.01116,0,0,0,0,0,0,0,0.00862672,0.000214774,0.000214774
12,106.474,0.68941,0.35816,1.02249,0,0,0,0,0,0,0,0.000301391,0.000222775,0.000222775
13,114.819,0.70539,0.36606,1.03216,0,0,0,0,0,0,0,0.0002114,0.0002114,0.0002114
14,123.208,0.7042,0.36524,1.02858,0,0,0,0,0,0,0,0.00019985,0.00019985,0.00019985
15,131.514,0.69257,0.36209,1.0253,0,0,0,0,0,0,0,0.0001883,0.0001883,0.0001883
16,139.829,0.70223,0.36374,1.02409,0,0,0,0,0,0,0,0.00017675,0.00017675,0.00017675
17,148.149,0.72062,0.36826,1.02707,0,0,0,0,0,0,0,0.0001652,0.0001652,0.0001652
18,156.568,0.68651,0.35538,1.01709,0,0,0,0,0,0,0,0.00015365,0.00015365,0.00015365
19,164.89,0.67822,0.35387,1.01563,0,0,0,0,0,0,0,0.0001421,0.0001421,0.0001421
20,173.226,0.6557,0.33865,1.00693,0,0,0,0,0,0,0,0.00013055,0.00013055,0.00013055
21,182.817,0.65925,0.34041,1.00326,0,0,0,0,0,0,0,0.000119,0.000119,0.000119
22,191.304,0.65465,0.33856,0.99857,0,0,0,0,0,0,0,0.00010745,0.00010745,0.00010745
23,199.712,0.64989,0.33454,0.99501,0,0,0,0,0,0,0,9.59e-05,9.59e-05,9.59e-05
24,208.088,0.63868,0.33101,0.98805,0,0,0,0,0,0,0,8.435e-05,8.435e-05,8.435e-05
25,216.46,0.60319,0.32164,0.97943,0,0,0,0,0,0,0,7.28e-05,7.28e-05,7.28e-05
26,224.933,0.58619,0.31711,0.97111,0,0,0,0,0,0,0,6.125e-05,6.125e-05,6.125e-05
27,233.318,0.57159,0.31108,0.965,0,0,0,0,0,0,0,4.97e-05,4.97e-05,4.97e-05
28,241.703,0.54997,0.30404,0.96064,0,0,0,0,0,0,0,3.815e-05,3.815e-05,3.815e-05
29,250.062,0.53194,0.29886,0.95464,0,0,0,0,0,0,0,2.66e-05,2.66e-05,2.66e-05
30,268.016,0.52413,0.29617,0.9533,0.99092,0.98054,0.99391,0.88937,0.52959,0.29324,0.94438,1.505e-05,1.505e-05,1.505e-05
