epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0598,0.7186,0.40262,1.13022,0,0,0,0,0,0,0,0.0670569,0.000232227,0.000232227
2,26.273,0.66123,0.37393,1.09051,0,0,0,0,0,0,0,0.0339453,0.000454038,0.000454038
3,38.262,0.64418,0.36419,1.08346,0,0,0,0,0,0,0,0.000822277,0.000664299,0.000664299
4,50.1476,0.63359,0.35875,1.07883,0,0,0,0,0,0,0,0.000648025,0.000648025,0.000648025
5,62.0584,0.61922,0.35091,1.06964,0,0,0,0,0,0,0,0.0006307,0.0006307,0.0006307
6,73.8513,0.60591,0.34399,1.06154,0,0,0,0,0,0,0,0.000613375,0.000613375,0.000613375
7,85.7243,0.59985,0.33999,1.0566,0,0,0,0,0,0,0,0.00059605,0.00059605,0.00059605
8,97.6479,0.59423,0.33754,1.053,0,0,0,0,0,0,0,0.000578725,0.000578725,0.000578725
9,109.649,0.5856,0.33167,1.04595,0,0,0,0,0,0,0,0.0005614,0.0005614,0.0005614
10,121.514,0.58008,0.33023,1.04221,0,0,0,0,0,0,0,0.000544075,0.000544075,0.000544075
11,133.368,0.58147,0.32997,1.04311,0,0,0,0,0,0,0,0.00052675,0.00052675,0.00052675
12,145.201,0.58018,0.33028,1.04463,0,0,0,0,0,0,0,0.000509425,0.000509425,0.000509425
13,157.082,0.57327,0.3262,1.03876,0,0,0,0,0,0,0,0.0004921,0.0004921,0.0004921
14,169.039,0.57552,0.32672,1.04142,0,0,0,0,0,0,0,0.000474775,0.000474775,0.000474775
15,180.925,0.57251,0.32561,1.03873,0,0,0,0,0,0,0,0.00045745,0.00045745,0.00045745
16,192.806,0.57305,0.32584,1.04085,0,0,0,0,0,0,0,0.000440125,0.000440125,0.000440125
17,204.687,0.56255,0.32065,1.03136,0,0,0,0,0,0,0,0.0004228,0.0004228,0.0004228
18,216.644,0.56415,0.32096,1.03148,0,0,0,0,0,0,0,0.000405475,0.000405475,0.000405475
19,228.598,0.56262,0.32003,1.03073,0,0,0,0,0,0,0,0.00038815,0.00038815,0.00038815
20,240.462,0.56185,0.31867,1.03075,0,0,0,0,0,0,0,0.000370825,0.000370825,0.000370825
21,252.281,0.553,0.31522,1.02395,0,0,0,0,0,0,0,0.0003535,0.0003535,0.0003535
22,264.219,0.55627,0.31703,1.02819,0,0,0,0,0,0,0,0.000336175,0.000336175,0.000336175
23,276.068,0.55114,0.31487,1.02379,0,0,0,0,0,0,0,0.00031885,0.00031885,0.00031885
24,287.887,0.55132,0.31463,1.0249,0,0,0,0,0,0,0,0.000301525,0.000301525,0.000301525
25,299.725,0.54788,0.31217,1.02095,0,0,0,0,0,0,0,0.0002842,0.0002842,0.0002842
26,311.598,0.54816,0.31266,1.02332,0,0,0,0,0,0,0,0.000266875,0.000266875,0.000266875
27,323.518,0.54619,0.31159,1.02087,0,0,0,0,0,0,0,0.00024955,0.00024955,0.00024955
28,335.413,0.54398,0.30992,1.01922,0,0,0,0,0,0,0,0.000232225,0.000232225,0.000232225
29,347.294,0.54577,0.31196,1.02167,0,0,0,0,0,0,0,0.0002149,0.0002149,0.0002149
30,359.193,0.54625,0.31204,1.02194,0,0,0,0,0,0,0,0.000197575,0.000197575,0.000197575
31,372.011,0.54292,0.30968,1.01896,0,0,0,0,0,0,0,0.00018025,0.00018025,0.00018025
32,384.042,0.54001,0.30798,1.01766,0,0,0,0,0,0,0,0.000162925,0.000162925,0.000162925
33,395.944,0.53869,0.30838,1.01677,0,0,0,0,0,0,0,0.0001456,0.0001456,0.0001456
34,407.82,0.53774,0.30773,1.01456,0,0,0,0,0,0,0,0.000128275,0.000128275,0.000128275
35,419.742,0.53957,0.30839,1.0174,0,0,0,0,0,0,0,0.00011095,0.00011095,0.00011095
36,431.713,0.53616,0.30724,1.01278,0,0,0,0,0,0,0,9.3625e-05,9.3625e-05,9.3625e-05
37,443.578,0.53494,0.30672,1.01157,0,0,0,0,0,0,0,7.63e-05,7.63e-05,7.63e-05
38,455.503,0.53617,0.30695,1.0155,0,0,0,0,0,0,0,5.8975e-05,5.8975e-05,5.8975e-05
39,467.396,0.53682,0.30721,1.01644,0,0,0,0,0,0,0,4.165e-05,4.165e-05,4.165e-05
40,490.342,0.53729,0.30718,1.01502,0.98965,0.98132,0.99402,0.89197,0.53699,0.30215,1.01078,2.4325e-05,2.4325e-05,2.4325e-05
