epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0674,0.54309,0.30572,0.95291,0,0,0,0,0,0,0,0.0901544,4.45055e-05,4.45055e-05
2,20.2945,0.54319,0.30406,0.95064,0,0,0,0,0,0,0,0.0801981,8.82396e-05,8.82396e-05
3,29.0942,0.55179,0.3054,0.95277,0,0,0,0,0,0,0,0.0702406,0.000130701,0.000130701
4,37.8889,0.56614,0.30924,0.95976,0,0,0,0,0,0,0,0.0602818,0.000171889,0.000171889
5,46.499,0.62486,0.3275,0.98273,0,0,0,0,0,0,0,0.0503217,0.000211805,0.000211805
6,55.0521,0.65214,0.33715,0.99188,0,0,0,0,0,0,0,0.0403603,0.000250448,0.000250448
7,63.6334,0.66345,0.33918,0.99859,0,0,0,0,0,0,0,0.0303977,0.000287817,0.000287817
8,71.9584,0.66826,0.34432,1.0029,0,0,0,0,0,0,0,0.0204338,0.000323914,0.000323914
9,80.4642,0.66978,0.3447,0.99978,0,0,0,0,0,0,0,0.0104686,0.000358739,0.000358739
10,88.8155,0.69194,0.35553,1.0128,0,0,0,0,0,0,0,0.00050218,0.00039229,0.00039229
11,97.0137,0.70164,0.35756,1.02015,0,0,0,0,0,0,0,0.000386357,0.000386357,0.000386357
12,105.338,0.68933,0.35448,1.01568,0,0,0,0,0,0,0,0.000379993,0.000379993,0.000379993
13,113.607,0.74052,0.37332,1.04997,0,0,0,0,0,0,0,0.000373629,0.000373629,0.000373629
14,121.917,0.73226,0.37368,1.03375,0,0,0,0,0,0,0,0.000367264,0.000367264,0.000367264
15,130.192,0.76546,0.37761,1.05922,0,0,0,0,0,0,0,0.0003609,0.0003609,0.0003609
16,138.485,0.78442,0.39521,1.04981,0,0,0,0,0,0,0,0.000354536,0.000354536,0.000354536
17,146.708,0.78548,0.38805,1.05014,0,0,0,0,0,0,0,0.000348171,0.000348171,0.000348171
18,154.955,0.76532,0.38074,1.04201,0,0,0,0,0,0,0,0.000341807,0.000341807,0.000341807
19,163.287,0.79459,0.38708,1.05997,0,0,0,0,0,0,0,0.000335443,0.000335443,0.000335443
20,171.6,0.75375,0.37541,1.0428,0,0,0,0,0,0,0,0.000329079,0.000329079,0.000329079
21,179.87,0.80192,0.38309,1.06911,0,0,0,0,0,0,0,0.000322714,0.000322714,0.000322714
22,188.143,0.73841,0.36477,1.03815,0,0,0,0,0,0,0,0.00031635,0.00031635,0.00031635
23,196.425,0.79736,0.3807,1.06405,0,0,0,0,0,0,0,0.000309986,0.000309986,0.000309986
24,204.788,0.75446,0.36436,1.05451,0,0,0,0,0,0,0,0.000303621,0.000303621,0.000303621
25,213.075,0.78135,0.37158,1.05882,0,0,0,0,0,0,0,0.000297257,0.000297257,0.000297257
26,221.366,0.7337,0.35955,1.03263,0,0,0,0,0,0,0,0.000290893,0.000290893,0.000290893
27,229.647,0.72201,0.35734,1.02744,0,0,0,0,0,0,0,0.000284529,0.000284529,0.000284529
28,237.997,0.6785,0.34709,1.00265,0,0,0,0,0,0,0,0.000278164,0.000278164,0.000278164
