epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1467,0.62917,0.35435,1.06543,0,0,0,0,0,0,0,0.0670569,0.000232227,0.000232227
2,26.3405,0.57839,0.33099,1.031,0,0,0,0,0,0,0,0.0339477,0.000456343,0.000456343
3,38.2572,0.56391,0.32382,1.02554,0,0,0,0,0,0,0,0.000829196,0.000671218,0.000671218
4,50.0802,0.5551,0.31939,1.0219,0,0,0,0,0,0,0,0.00065842,0.00065842,0.00065842
5,61.8812,0.54284,0.3123,1.01409,0,0,0,0,0,0,0,0.00064456,0.00064456,0.00064456
6,73.7781,0.53101,0.30607,1.00665,0,0,0,0,0,0,0,0.0006307,0.0006307,0.0006307
7,85.6276,0.52517,0.30294,1.00215,0,0,0,0,0,0,0,0.00061684,0.00061684,0.00061684
8,97.5582,0.52078,0.30083,0.99964,0,0,0,0,0,0,0,0.00060298,0.00060298,0.00060298
9,109.485,0.51078,0.29549,0.9916,0,0,0,0,0,0,0,0.00058912,0.00058912,0.00058912
10,121.478,0.50776,0.29472,0.99049,0,0,0,0,0,0,0,0.00057526,0.00057526,0.00057526
11,133.337,0.50941,0.29376,0.99148,0,0,0,0,0,0,0,0.0005614,0.0005614,0.0005614
12,145.208,0.50755,0.29444,0.99183,0,0,0,0,0,0,0,0.00054754,0.00054754,0.00054754
13,157.06,0.50064,0.29062,0.98646,0,0,0,0,0,0,0,0.00053368,0.00053368,0.00053368
14,168.924,0.50301,0.29107,0.98928,0,0,0,0,0,0,0,0.00051982,0.00051982,0.00051982
15,180.877,0.50064,0.28993,0.98647,0,0,0,0,0,0,0,0.00050596,0.00050596,0.00050596
16,192.744,0.49981,0.29011,0.98784,0,0,0,0,0,0,0,0.0004921,0.0004921,0.0004921
17,204.556,0.48872,0.28388,0.97847,0,0,0,0,0,0,0,0.00047824,0.00047824,0.00047824
18,216.462,0.49066,0.28474,0.97935,0,0,0,0,0,0,0,0.00046438,0.00046438,0.00046438
19,228.475,0.48941,0.28432,0.97845,0,0,0,0,0,0,0,0.00045052,0.00045052,0.00045052
20,240.405,0.48729,0.28313,0.97724,0,0,0,0,0,0,0,0.00043666,0.00043666,0.00043666
21,252.356,0.48129,0.28023,0.97241,0,0,0,0,0,0,0,0.0004228,0.0004228,0.0004228
22,264.273,0.48476,0.28179,0.97626,0,0,0,0,0,0,0,0.00040894,0.00040894,0.00040894
23,276.236,0.48117,0.27978,0.97322,0,0,0,0,0,0,0,0.00039508,0.00039508,0.00039508
24,288.093,0.48106,0.27979,0.97459,0,0,0,0,0,0,0,0.00038122,0.00038122,0.00038122
25,299.958,0.47631,0.27717,0.97025,0,0,0,0,0,0,0,0.00036736,0.00036736,0.00036736
26,311.83,0.47675,0.27776,0.9718,0,0,0,0,0,0,0,0.0003535,0.0003535,0.0003535
27,323.793,0.47748,0.27687,0.97122,0,0,0,0,0,0,0,0.00033964,0.00033964,0.00033964
28,335.67,0.47257,0.27535,0.96825,0,0,0,0,0,0,0,0.00032578,0.00032578,0.00032578
29,347.525,0.4737,0.27652,0.96973,0,0,0,0,0,0,0,0.00031192,0.00031192,0.00031192
30,359.399,0.47515,0.27689,0.97125,0,0,0,0,0,0,0,0.00029806,0.00029806,0.00029806
31,371.358,0.47308,0.27625,0.97173,0,0,0,0,0,0,0,0.0002842,0.0002842,0.0002842
32,383.231,0.47072,0.2734,0.96756,0,0,0,0,0,0,0,0.00027034,0.00027034,0.00027034
33,395.111,0.47172,0.27505,0.96844,0,0,0,0,0,0,0,0.00025648,0.00025648,0.00025648
34,406.963,0.46829,0.27384,0.96539,0,0,0,0,0,0,0,0.00024262,0.00024262,0.00024262
35,418.901,0.46867,0.2736,0.96697,0,0,0,0,0,0,0,0.00022876,0.00022876,0.00022876
36,430.782,0.46697,0.27229,0.96552,0,0,0,0,0,0,0,0.0002149,0.0002149,0.0002149
37,442.673,0.46527,0.27197,0.96344,0,0,0,0,0,0,0,0.00020104,0.00020104,0.00020104
38,454.555,0.46265,0.26983,0.96051,0,0,0,0,0,0,0,0.00018718,0.00018718,0.00018718
39,466.501,0.46855,0.27375,0.96847,0,0,0,0,0,0,0,0.00017332,0.00017332,0.00017332
40,478.378,0.46472,0.2712,0.96348,0,0,0,0,0,0,0,0.00015946,0.00015946,0.00015946
41,491.179,0.46276,0.27079,0.96289,0,0,0,0,0,0,0,0.0001456,0.0001456,0.0001456
42,503.054,0.46072,0.26935,0.96135,0,0,0,0,0,0,0,0.00013174,0.00013174,0.00013174
43,515.003,0.46216,0.27067,0.96214,0,0,0,0,0,0,0,0.00011788,0.00011788,0.00011788
44,526.757,0.46131,0.26933,0.96046,0,0,0,0,0,0,0,0.00010402,0.00010402,0.00010402
45,538.508,0.46197,0.27017,0.96236,0,0,0,0,0,0,0,9.016e-05,9.016e-05,9.016e-05
46,550.373,0.45948,0.26849,0.95915,0,0,0,0,0,0,0,7.63e-05,7.63e-05,7.63e-05
47,562.341,0.45818,0.26863,0.95759,0,0,0,0,0,0,0,6.244e-05,6.244e-05,6.244e-05
48,574.177,0.46011,0.26905,0.96155,0,0,0,0,0,0,0,4.858e-05,4.858e-05,4.858e-05
49,586.013,0.46179,0.2699,0.96355,0,0,0,0,0,0,0,3.472e-05,3.472e-05,3.472e-05
50,608.719,0.46131,0.26882,0.96083,0.99281,0.98722,0.99461,0.91888,0.46263,0.26312,0.9588,2.086e-05,2.086e-05,2.086e-05
