epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2557,0.78504,0.467,1.05656,0.76179,0.46438,0.52039,0.22804,2.24047,1.79908,1.99855,0.0692579,0.00196226,0.00196226
2,18.9509,0.73478,0.42117,1.02964,0.55236,0.36273,0.3525,0.13734,2.62458,1.87978,2.34041,0.0379207,0.00395839,0.00395839
3,27.4981,0.73707,0.4178,1.02995,0.72447,0.47417,0.50699,0.22753,2.18036,1.81498,1.941,0.00656792,0.00593899,0.00593899
4,35.8838,0.73152,0.4134,1.02437,0.67667,0.41645,0.43576,0.17665,2.49934,2.0331,2.29171,0.00594739,0.00594739,0.00594739
5,44.4214,0.71798,0.41478,1.01843,0.75639,0.54718,0.59739,0.28432,2.03947,1.4223,1.86128,0.00590669,0.00590669,0.00590669
6,52.9362,0.70562,0.4008,1.01215,0.75708,0.54695,0.59777,0.28443,2.0442,1.4165,1.89935,0.00585464,0.00585464,0.00585464
7,61.4663,0.69758,0.40407,1.00798,0.75164,0.53184,0.58536,0.27235,2.08725,1.49806,1.92509,0.00579144,0.00579144,0.00579144
8,69.9721,0.68754,0.40364,1.00823,0.76553,0.54747,0.60627,0.2965,2.03012,1.42588,1.882,0.00571734,0.00571734,0.00571734
9,78.3367,0.68082,0.39253,1.00137,0.78803,0.5548,0.61811,0.31271,1.98526,1.4397,1.85072,0.00563263,0.00563263,0.00563263
10,86.6881,0.67847,0.3887,1.00055,0.77482,0.55908,0.61213,0.30498,2.00777,1.42344,1.88115,0.00553765,0.00553765,0.00553765
11,95.1197,0.67135,0.39025,0.99699,0.76632,0.53841,0.58375,0.29856,2.01738,1.43917,1.88843,0.00543278,0.00543278,0.00543278
12,103.461,0.66763,0.38212,0.99476,0.7858,0.54513,0.60004,0.29875,2.03028,1.43223,1.87721,0.00531842,0.00531842,0.00531842
13,111.747,0.66249,0.38347,0.9924,0.77215,0.56315,0.62176,0.31758,1.99822,1.47269,1.87389,0.00519504,0.00519504,0.00519504
14,120.086,0.65455,0.38238,0.98897,0.79232,0.57147,0.63753,0.32271,1.97606,1.40386,1.85813,0.0050631,0.0050631,0.0050631
15,128.615,0.65191,0.37795,0.99039,0.80489,0.55576,0.62183,0.31584,1.96795,1.42297,1.84184,0.00492315,0.00492315,0.00492315
16,137.039,0.64767,0.3741,0.98502,0.81228,0.54681,0.61616,0.3108,2.00349,1.43701,1.86244,0.00477572,0.00477572,0.00477572
17,145.416,0.64587,0.37441,0.98441,0.81354,0.53694,0.60195,0.30266,2.02806,1.46238,1.8798,0.00462141,0.00462141,0.00462141
18,153.885,0.63752,0.371,0.98077,0.8045,0.55831,0.62423,0.31784,1.98287,1.42244,1.85513,0.00446081,0.00446081,0.00446081
19,162.4,0.63516,0.36998,0.9803,0.7689,0.56315,0.60618,0.29776,2.01643,1.43927,1.87668,0.00429456,0.00429456,0.00429456
20,170.756,0.63092,0.36792,0.97895,0.7869,0.54573,0.60979,0.3026,2.02255,1.44659,1.8838,0.00412333,0.00412333,0.00412333
21,179.082,0.6275,0.36596,0.97679,0.80964,0.55358,0.62587,0.31488,1.97514,1.45285,1.85729,0.00394778,0.00394778,0.00394778
