epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5532,3.37287,2.42348,3.17944,0.01641,0.16136,0.01004,0.0024,3.4989,3.05606,2.84186,0.068475,0.000975,0.000975
2,19.1615,2.46481,1.5955,2.19579,0.01656,0.16289,0.01146,0.00235,3.641,3.30384,3.0632,0.0361412,0.00197452,0.00197452
3,27.2817,2.14609,1.37251,1.92602,0.15909,0.12816,0.05619,0.01248,3.11781,2.74984,2.73897,0.00380543,0.00297209,0.00297209
4,35.3486,1.87733,1.17078,1.71303,0.62833,0.4098,0.37435,0.11477,2.82672,1.96627,2.37829,0.00299341,0.00299341,0.00299341
5,43.6161,1.71504,1.04339,1.58302,0.60666,0.48882,0.43947,0.15938,2.51385,1.69012,2.19038,0.00298829,0.00298829,0.00298829
6,51.5671,1.56788,0.93939,1.49453,0.62104,0.5205,0.5082,0.19222,2.41841,1.5474,1.98833,0.00298172,0.00298172,0.00298172
7,59.2867,1.44647,0.86006,1.42027,0.74119,0.54884,0.59573,0.25319,2.25079,1.41247,1.90946,0.0029737,0.0029737,0.0029737
8,67.0576,1.37591,0.80746,1.3663,0.7201,0.52393,0.57321,0.23729,2.27425,1.42584,1.96895,0.00296424,0.00296424,0.00296424
9,74.6935,1.31157,0.76343,1.3216,0.65656,0.49822,0.54201,0.22543,2.27174,1.40955,1.95052,0.00295335,0.00295335,0.00295335
10,82.3602,1.29029,0.74847,1.30825,0.67843,0.5378,0.57144,0.25291,2.22846,1.40044,1.89547,0.00294104,0.00294104,0.00294104
11,90.0274,1.30098,0.73755,1.31334,0.71426,0.54549,0.593,0.2448,2.19299,1.35368,1.8807,0.00292732,0.00292732,0.00292732
12,97.5934,1.24503,0.70611,1.27216,0.70771,0.52932,0.56877,0.25111,2.18151,1.3653,1.88735,0.00291221,0.00291221,0.00291221
13,105.198,1.19794,0.68045,1.24585,0.75631,0.54983,0.61061,0.27182,2.15952,1.3702,1.79987,0.00289572,0.00289572,0.00289572
14,112.838,1.15507,0.65717,1.2206,0.73938,0.5584,0.61171,0.27713,2.15003,1.3384,1.82761,0.00287787,0.00287787,0.00287787
15,120.318,1.15346,0.6482,1.22232,0.77061,0.55625,0.62237,0.26917,2.13354,1.30953,1.80139,0.00285867,0.00285867,0.00285867
16,127.89,1.11415,0.62695,1.20148,0.79533,0.55027,0.58814,0.27649,2.08739,1.35552,1.77479,0.00283814,0.00283814,0.00283814
17,135.489,1.0999,0.61605,1.19202,0.78166,0.55659,0.63821,0.29462,2.0318,1.25751,1.77115,0.00281632,0.00281632,0.00281632
18,143.038,1.09445,0.61022,1.18403,0.76531,0.51181,0.56437,0.24555,2.19943,1.38783,1.89045,0.0027932,0.0027932,0.0027932
19,150.801,1.06729,0.59062,1.16975,0.74852,0.53694,0.58129,0.24053,2.20082,1.34396,1.86518,0.00276883,0.00276883,0.00276883
20,158.395,1.09354,0.59622,1.17731,0.80956,0.57211,0.64494,0.31272,1.9464,1.23085,1.69508,0.00274321,0.00274321,0.00274321
21,166.162,1.07843,0.58969,1.17103,0.77592,0.54238,0.60486,0.27964,2.0437,1.34217,1.7388,0.00271639,0.00271639,0.00271639
22,173.699,1.0207,0.5696,1.14013,0.79815,0.55319,0.64001,0.29798,2.03393,1.26948,1.75158,0.00268838,0.00268838,0.00268838
23,181.23,1.0265,0.57037,1.14299,0.82176,0.57068,0.62636,0.28078,2.11583,1.27325,1.77919,0.00265921,0.00265921,0.00265921
24,188.72,1.03577,0.56827,1.1474,0.78387,0.56135,0.61768,0.27062,2.10777,1.28657,1.78751,0.00262891,0.00262891,0.00262891
25,196.299,1.06199,0.57074,1.15418,0.76657,0.56701,0.61621,0.28622,2.03549,1.30374,1.75667,0.00259752,0.00259752,0.00259752
26,203.793,1.0011,0.55346,1.12692,0.7861,0.57596,0.62927,0.30078,2.00934,1.24827,1.73922,0.00256505,0.00256505,0.00256505
27,211.314,0.98087,0.54445,1.11576,0.78842,0.56401,0.59538,0.28097,2.00725,1.278,1.73643,0.00253155,0.00253155,0.00253155
28,218.751,0.95607,0.53321,1.10887,0.79754,0.56561,0.6258,0.30221,1.98212,1.2864,1.69661,0.00249705,0.00249705,0.00249705
29,226.295,0.95779,0.52801,1.10476,0.77224,0.57601,0.62456,0.29046,2.04361,1.23551,1.74763,0.00246157,0.00246157,0.00246157
30,233.823,0.95064,0.52097,1.10057,0.79794,0.54345,0.60591,0.25738,2.23209,1.33427,1.85567,0.00242517,0.00242517,0.00242517
31,241.326,0.95112,0.52138,1.09527,0.78927,0.56378,0.61072,0.27573,2.09507,1.28702,1.78268,0.00238786,0.00238786,0.00238786
32,248.853,0.9446,0.5176,1.09616,0.7829,0.57636,0.63999,0.31063,1.972,1.25683,1.71611,0.00234969,0.00234969,0.00234969
33,256.454,0.94914,0.51912,1.09357,0.78127,0.57331,0.62624,0.30279,1.98296,1.25178,1.69726,0.0023107,0.0023107,0.0023107
34,263.901,0.93352,0.51015,1.08958,0.79104,0.54767,0.59205,0.27772,2.07342,1.34073,1.77415,0.00227093,0.00227093,0.00227093
35,271.235,0.91755,0.50521,1.08004,0.79219,0.53119,0.58622,0.2774,2.08369,1.42613,1.7597,0.0022304,0.0022304,0.0022304
36,278.668,0.89691,0.49239,1.07163,0.79603,0.56599,0.62212,0.29769,2.03547,1.31012,1.74042,0.00218918,0.00218918,0.00218918
37,286.13,0.89706,0.49359,1.07242,0.78725,0.57364,0.62724,0.31267,1.95554,1.29289,1.68452,0.00214728,0.00214728,0.00214728
38,293.515,0.89318,0.49206,1.06869,0.77813,0.53519,0.59282,0.30115,2.02933,1.44514,1.72679,0.00210476,0.00210476,0.00210476
39,300.967,0.88229,0.48464,1.06374,0.8088,0.53992,0.60804,0.29308,1.97565,1.3173,1.70503,0.00206166,0.00206166,0.00206166
40,308.334,0.89499,0.48952,1.07014,0.78575,0.56216,0.60797,0.31015,1.95859,1.31294,1.67569,0.00201803,0.00201803,0.00201803
