epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2049,3.10508,2.1243,3.00088,0,0,0,0,3.53326,4.0756,2.72636,0.0682767,0.000981132,0.000981132
2,21.3267,2.23036,1.39803,2.10606,0.02577,0.25349,0.0223,0.00594,3.56487,3.06377,3.43693,0.0359431,0.0019808,0.0019808
3,31.7217,1.89307,1.13667,1.82419,0.7874,0.62326,0.7107,0.27938,2.17417,1.25684,2.00339,0.00360804,0.00297911,0.00297911
4,42.1568,1.69213,0.98634,1.66153,0.82791,0.70546,0.79675,0.36183,1.89536,1.0506,1.78639,0.00299542,0.00299542,0.00299542
5,52.4626,1.55154,0.88404,1.55981,0.85981,0.75071,0.85511,0.47982,1.57828,0.90064,1.53912,0.00299187,0.00299187,0.00299187
6,62.7366,1.42837,0.80501,1.4717,0.89997,0.81705,0.90263,0.52901,1.42422,0.81011,1.45607,0.0029873,0.0029873,0.0029873
7,72.912,1.34752,0.74709,1.41737,0.93552,0.83887,0.92316,0.58015,1.32367,0.69194,1.37302,0.00298172,0.00298172,0.00298172
8,83.0589,1.29987,0.70746,1.37345,0.93399,0.84445,0.92525,0.55502,1.37718,0.712,1.37768,0.00297513,0.00297513,0.00297513
9,93.2068,1.27539,0.68612,1.35407,0.92732,0.8482,0.92657,0.56839,1.35892,0.71837,1.3423,0.00296755,0.00296755,0.00296755
10,103.353,1.22981,0.6602,1.32012,0.9345,0.87158,0.94663,0.62548,1.19957,0.64698,1.27595,0.00295897,0.00295897,0.00295897
11,113.505,1.17874,0.63779,1.29347,0.9443,0.87264,0.94634,0.63824,1.13566,0.6355,1.26557,0.0029494,0.0029494,0.0029494
12,123.553,1.14085,0.61691,1.27,0.93849,0.88927,0.95228,0.61188,1.26149,0.62261,1.29529,0.00293885,0.00293885,0.00293885
13,133.812,1.12946,0.60381,1.25663,0.94438,0.89042,0.95794,0.6564,1.11233,0.59066,1.22349,0.00292732,0.00292732,0.00292732
14,143.944,1.07331,0.57671,1.22716,0.94774,0.9118,0.96525,0.6871,1.03977,0.55119,1.19499,0.00291482,0.00291482,0.00291482
15,154.199,1.06423,0.56851,1.21433,0.95588,0.90061,0.96121,0.65128,1.13902,0.5829,1.22418,0.00290137,0.00290137,0.00290137
16,164.117,1.01754,0.54397,1.18865,0.95362,0.91647,0.96773,0.68136,1.08969,0.5352,1.18725,0.00288696,0.00288696,0.00288696
17,174.049,1.05871,0.55623,1.21139,0.95579,0.90597,0.96473,0.66913,1.09176,0.5601,1.21348,0.00287162,0.00287162,0.00287162
18,183.987,0.99902,0.53315,1.17526,0.96019,0.92329,0.97198,0.68922,1.04165,0.52671,1.16722,0.00285534,0.00285534,0.00285534
19,194.017,0.97993,0.52146,1.16022,0.9578,0.91758,0.97038,0.70401,0.99833,0.52225,1.15884,0.00283814,0.00283814,0.00283814
20,204.083,0.98911,0.52166,1.16367,0.95418,0.92751,0.97215,0.69557,1.03311,0.53285,1.1578,0.00282004,0.00282004,0.00282004
21,214.008,0.96095,0.50666,1.15168,0.96627,0.9398,0.97654,0.72648,0.9362,0.48576,1.10605,0.00280105,0.00280105,0.00280105
22,224.069,0.95595,0.50074,1.14172,0.96707,0.93757,0.97661,0.74104,0.89525,0.48391,1.09473,0.00278117,0.00278117,0.00278117
23,234.064,0.92261,0.48978,1.12466,0.97,0.93863,0.97705,0.73055,0.95941,0.48633,1.11576,0.00276043,0.00276043,0.00276043
24,244.046,0.94663,0.49647,1.13598,0.96542,0.93549,0.97519,0.736,0.92105,0.48316,1.10032,0.00273883,0.00273883,0.00273883
25,253.999,0.92263,0.48538,1.1216,0.96703,0.94172,0.97642,0.70002,1.04772,0.49988,1.13661,0.00271639,0.00271639,0.00271639
26,263.923,0.92064,0.48344,1.12179,0.96797,0.94283,0.97833,0.75288,0.87263,0.45169,1.07584,0.00269313,0.00269313,0.00269313
27,273.866,0.91978,0.48061,1.11954,0.96761,0.93814,0.97785,0.73967,0.92611,0.476,1.09644,0.00266906,0.00266906,0.00266906
28,283.8,0.90061,0.47514,1.10939,0.97231,0.9499,0.98069,0.75404,0.86362,0.45418,1.06357,0.0026442,0.0026442,0.0026442
29,293.731,0.89084,0.46778,1.10036,0.97545,0.94765,0.98035,0.76249,0.85984,0.44364,1.05557,0.00261857,0.00261857,0.00261857
30,303.699,0.88147,0.46105,1.09389,0.97052,0.94013,0.97862,0.74314,0.92244,0.46052,1.08866,0.00259218,0.00259218,0.00259218
31,313.719,0.87961,0.4561,1.09391,0.97236,0.94765,0.98199,0.76688,0.85245,0.44159,1.05763,0.00256505,0.00256505,0.00256505
32,323.881,0.87682,0.456,1.0914,0.97678,0.94631,0.97823,0.75652,0.86609,0.45836,1.0579,0.00253721,0.00253721,0.00253721
33,333.912,0.85165,0.44817,1.07961,0.97394,0.94629,0.9821,0.76569,0.84705,0.43277,1.04892,0.00250866,0.00250866,0.00250866
34,343.951,0.8594,0.45131,1.08393,0.97484,0.948,0.98213,0.75846,0.87492,0.45286,1.06567,0.00247943,0.00247943,0.00247943
35,353.934,0.85655,0.44651,1.08455,0.97319,0.93712,0.97784,0.75097,0.8823,0.44646,1.06911,0.00244954,0.00244954,0.00244954
36,363.889,0.83807,0.44014,1.07287,0.97779,0.95385,0.9835,0.77728,0.83318,0.42089,1.04158,0.00241901,0.00241901,0.00241901
37,373.975,0.83826,0.44148,1.07146,0.97697,0.95345,0.9831,0.77462,0.84372,0.41707,1.0375,0.00238786,0.00238786,0.00238786
