epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1422,0.67837,0.36773,1.03774,0.97539,0.96061,0.98428,0.80922,0.7242,0.3859,1.04495,0.0680708,0.0009875,0.0009875
2,30.8991,0.64056,0.34706,1.01883,0.93295,0.95076,0.97629,0.78191,0.79045,0.472,1.08369,0.035737,0.00198701,0.00198701
3,45.2389,0.62319,0.34246,1.00801,0.98397,0.97222,0.98861,0.83463,0.66666,0.35422,1.01516,0.00340125,0.00298458,0.00298458
4,59.6757,0.61645,0.34178,1.00333,0.88111,0.75579,0.83284,0.55104,1.39022,0.90406,1.44514,0.00299341,0.00299341,0.00299341
5,74.0673,0.60197,0.33476,0.99419,0.98554,0.97385,0.98994,0.84063,0.65528,0.34402,1.00875,0.00298829,0.00298829,0.00298829
6,113.334,0.59505,0.332,0.99471,0.98498,0.97019,0.98849,0.82898,0.67665,0.35689,1.02216,0.00298172,0.00298172,0.00298172
7,127.661,0.58985,0.32971,0.99229,0.97695,0.93653,0.97717,0.78198,0.80564,0.41343,1.08895,0.0029737,0.0029737,0.0029737
8,141.927,0.5872,0.32716,0.99022,0.98738,0.97613,0.99214,0.85802,0.60939,0.32695,0.98788,0.00296424,0.00296424,0.00296424
9,156.399,0.58268,0.32635,0.98763,0.98563,0.9744,0.99015,0.83986,0.65018,0.34116,1.00849,0.00295335,0.00295335,0.00295335
10,170.719,0.57661,0.32436,0.98335,0.98693,0.97678,0.9924,0.85825,0.61094,0.32566,0.9884,0.00294104,0.00294104,0.00294104
11,185.031,0.57271,0.32119,0.98248,0.98636,0.97066,0.98851,0.84537,0.6459,0.33519,1.00575,0.00292732,0.00292732,0.00292732
12,199.456,0.5705,0.32132,0.98175,0.98754,0.9767,0.99221,0.85536,0.61492,0.32588,0.98927,0.00291221,0.00291221,0.00291221
13,213.871,0.56923,0.31928,0.98062,0.9881,0.97722,0.99266,0.86677,0.59197,0.31629,0.97938,0.00289572,0.00289572,0.00289572
14,228.236,0.56266,0.31553,0.97728,0.98823,0.97687,0.99253,0.86389,0.59648,0.31742,0.98171,0.00287787,0.00287787,0.00287787
15,242.614,0.56163,0.31619,0.97737,0.98866,0.97846,0.99311,0.86917,0.58145,0.31176,0.97447,0.00285867,0.00285867,0.00285867
16,257.061,0.55832,0.31385,0.97419,0.98815,0.97903,0.99283,0.8669,0.58052,0.31286,0.97342,0.00283814,0.00283814,0.00283814
17,271.458,0.55487,0.31288,0.97226,0.98709,0.97789,0.99229,0.85965,0.60564,0.3186,0.98508,0.00281632,0.00281632,0.00281632
18,285.759,0.55602,0.31096,0.97435,0.98803,0.97504,0.99206,0.85325,0.62918,0.32687,0.99552,0.0027932,0.0027932,0.0027932
19,300.068,0.55107,0.30982,0.96989,0.98143,0.96144,0.98543,0.81938,0.71507,0.36511,1.03914,0.00276883,0.00276883,0.00276883
20,314.284,0.55027,0.31044,0.97032,0.98807,0.97813,0.99306,0.87027,0.58664,0.31239,0.97746,0.00274321,0.00274321,0.00274321
21,328.695,0.54847,0.30885,0.9671,0.98991,0.97911,0.99323,0.8718,0.57093,0.30629,0.96881,0.00271639,0.00271639,0.00271639
22,343.125,0.54412,0.30687,0.96752,0.98757,0.97761,0.99256,0.86356,0.59747,0.31301,0.98057,0.00268838,0.00268838,0.00268838
23,439.133,0.54522,0.30585,0.96774,0.98937,0.97813,0.99289,0.86892,0.57464,0.30526,0.97086,0.00265921,0.00265921,0.00265921
24,453.481,0.54278,0.30588,0.96665,0.98797,0.9731,0.9914,0.8514,0.6321,0.32729,0.99756,0.00262891,0.00262891,0.00262891
25,467.838,0.54087,0.30387,0.96716,0.98862,0.97608,0.99264,0.85943,0.60776,0.31515,0.98468,0.00259752,0.00259752,0.00259752
26,482.237,0.54134,0.30412,0.96615,0.98928,0.9806,0.99348,0.87698,0.55419,0.29866,0.96103,0.00256505,0.00256505,0.00256505
27,496.618,0.53894,0.30243,0.96468,0.98654,0.97641,0.99124,0.85036,0.62612,0.32348,0.99348,0.00253155,0.00253155,0.00253155
28,510.853,0.53657,0.3022,0.96176,0.98958,0.98002,0.99361,0.87791,0.55804,0.29779,0.96208,0.00249705,0.00249705,0.00249705
29,525.289,0.53516,0.30182,0.96251,0.98849,0.98038,0.99323,0.87449,0.56182,0.301,0.96292,0.00246157,0.00246157,0.00246157
30,539.714,0.53907,0.30208,0.96612,0.98837,0.9789,0.99276,0.86737,0.58218,0.30487,0.97248,0.00242517,0.00242517,0.00242517
31,554.057,0.53028,0.29869,0.95918,0.98989,0.98051,0.99358,0.88432,0.54509,0.29324,0.95669,0.00238786,0.00238786,0.00238786
32,568.415,0.53504,0.29947,0.96366,0.9896,0.9811,0.99357,0.88022,0.5521,0.29713,0.95953,0.00234969,0.00234969,0.00234969
33,582.873,0.54388,0.30637,0.97367,0.98974,0.98017,0.99354,0.87928,0.55198,0.29553,0.95892,0.0023107,0.0023107,0.0023107
34,597.245,0.52741,0.29737,0.9594,0.98915,0.97789,0.99324,0.869,0.58077,0.30455,0.97057,0.00227093,0.00227093,0.00227093
35,611.596,0.5285,0.29678,0.96114,0.9896,0.98114,0.99377,0.88429,0.53716,0.29135,0.95276,0.0022304,0.0022304,0.0022304
36,625.918,0.52174,0.29361,0.95511,0.98926,0.9816,0.99361,0.87938,0.55457,0.29658,0.95796,0.00218918,0.00218918,0.00218918
37,640.298,0.52323,0.294,0.95598,0.98762,0.97945,0.99282,0.86573,0.58507,0.30637,0.97261,0.00214728,0.00214728,0.00214728
38,654.639,0.52488,0.29421,0.95843,0.99144,0.98109,0.99387,0.88771,0.528,0.28545,0.94824,0.00210476,0.00210476,0.00210476
39,668.971,0.52023,0.29253,0.95764,0.99072,0.9818,0.99388,0.88575,0.53562,0.2884,0.95076,0.00206166,0.00206166,0.00206166
40,683.322,0.51665,0.29142,0.95066,0.98979,0.98257,0.99393,0.88718,0.53138,0.28672,0.94815,0.00201803,0.00201803,0.00201803
41,697.701,0.52187,0.29217,0.95613,0.98953,0.98139,0.99377,0.88572,0.54239,0.29015,0.95326,0.00197389,0.00197389,0.00197389
42,711.993,0.51542,0.29023,0.95119,0.98832,0.98255,0.99378,0.88585,0.53425,0.28898,0.95012,0.0019293,0.0019293,0.0019293
43,726.245,0.5182,0.28981,0.95608,0.99039,0.98269,0.99399,0.89025,0.52291,0.2836,0.94432,0.0018843,0.0018843,0.0018843
44,740.724,0.51047,0.28759,0.94808,0.98949,0.98362,0.99397,0.88921,0.52029,0.28325,0.94348,0.00183894,0.00183894,0.00183894
45,755.062,0.51156,0.28836,0.94785,0.98994,0.98186,0.99384,0.88399,0.53516,0.2893,0.94935,0.00179326,0.00179326,0.00179326
