epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4829,3.11966,0.56378,3.26284,0.70701,0.47005,0.56827,0.23082,2.73413,0.52496,2.68667,0.0901768,0.000129384,0.000129384
2,92.3768,1.8812,0.30068,2.13306,0.83689,0.71639,0.81664,0.41962,2.0783,0.30997,2.17909,0.0803025,0.000255104,0.000255104
3,137.003,1.58006,0.24245,1.87482,0.86199,0.75609,0.85821,0.531,1.65332,0.26861,1.88526,0.0704239,0.000376534,0.000376534
4,180.853,1.40582,0.2105,1.73617,0.88372,0.79267,0.88713,0.54972,1.62537,0.24558,1.85747,0.0605411,0.000493674,0.000493674
5,224.865,1.32538,0.19405,1.67247,0.93037,0.81415,0.90829,0.59943,1.49667,0.21228,1.73893,0.0506539,0.000606525,0.000606525
6,268.413,1.26115,0.18149,1.62484,0.92392,0.85036,0.93379,0.62197,1.43384,0.20451,1.70811,0.0407625,0.000715085,0.000715085
7,312.013,1.21971,0.17417,1.59801,0.93251,0.85956,0.94182,0.63227,1.38935,0.19596,1.66481,0.0308667,0.000819355,0.000819355
8,354.945,1.16263,0.16508,1.5536,0.92465,0.86985,0.9426,0.63176,1.39596,0.19258,1.66239,0.0209667,0.000919335,0.000919335
9,397.554,1.12902,0.15948,1.52621,0.93265,0.86609,0.93627,0.62077,1.46037,0.19252,1.68883,0.0110624,0.00101503,0.00101503
10,440.344,1.11819,0.15904,1.52068,0.94576,0.90027,0.96038,0.67348,1.29696,0.17562,1.59632,0.00115382,0.00110643,0.00110643
11,483.005,1.09609,0.15388,1.50821,0.93996,0.89714,0.95414,0.66788,1.28825,0.19024,1.59238,0.0010855,0.0010855,0.0010855
12,525.483,1.05178,0.14727,1.47191,0.93676,0.90992,0.95938,0.68654,1.22302,0.16699,1.56748,0.00106405,0.00106405,0.00106405
13,568.075,1.03945,0.14524,1.46534,0.949,0.91532,0.9642,0.69076,1.2249,0.16666,1.55946,0.0010426,0.0010426,0.0010426
14,610.822,0.97951,0.13885,1.43088,0.9543,0.90577,0.96316,0.70083,1.20169,0.16043,1.53823,0.00102115,0.00102115,0.00102115
