epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.226,0.68535,0.06883,1.35793,0,0,0,0,0,0,0,0.0834464,9.99209e-05,9.99209e-05
2,204.651,0.64579,0.06544,1.3271,0,0,0,0,0,0,0,0.0668732,0.000193324,0.000193324
3,303.865,0.63387,0.06459,1.32066,0,0,0,0,0,0,0,0.0502933,0.000280126,0.000280126
4,402.536,0.62845,0.06418,1.32094,0,0,0,0,0,0,0,0.0337068,0.000360329,0.000360329
5,501.278,0.61239,0.06291,1.30777,0,0,0,0,0,0,0,0.0171138,0.000433931,0.000433931
6,601.34,0.59931,0.06163,1.29936,0,0,0,0,0,0,0,0.000514109,0.000500934,0.000500934
7,700.384,0.5939,0.06077,1.29447,0,0,0,0,0,0,0,0.0004812,0.0004812,0.0004812
8,798.556,0.59117,0.06047,1.29351,0,0,0,0,0,0,0,0.0004614,0.0004614,0.0004614
9,897.038,0.57707,0.05926,1.28171,0,0,0,0,0,0,0,0.0004416,0.0004416,0.0004416
10,996.099,0.5773,0.05902,1.27904,0,0,0,0,0,0,0,0.0004218,0.0004218,0.0004218
11,1094.96,0.57893,0.05908,1.28331,0,0,0,0,0,0,0,0.000402,0.000402,0.000402
12,1194.16,0.57455,0.05891,1.27895,0,0,0,0,0,0,0,0.0003822,0.0003822,0.0003822
13,1293.59,0.56772,0.05845,1.27535,0,0,0,0,0,0,0,0.0003624,0.0003624,0.0003624
14,1392.45,0.56484,0.05822,1.27372,0,0,0,0,0,0,0,0.0003426,0.0003426,0.0003426
15,1491.59,0.56048,0.0583,1.27238,0,0,0,0,0,0,0,0.0003228,0.0003228,0.0003228
16,1590.85,0.55837,0.0577,1.2698,0,0,0,0,0,0,0,0.000303,0.000303,0.000303
17,1689.67,0.54465,0.05691,1.26206,0,0,0,0,0,0,0,0.0002832,0.0002832,0.0002832
18,1788.12,0.54699,0.05699,1.26192,0,0,0,0,0,0,0,0.0002634,0.0002634,0.0002634
19,1887.41,0.54345,0.05661,1.26124,0,0,0,0,0,0,0,0.0002436,0.0002436,0.0002436
20,1986.74,0.54282,0.05698,1.25986,0,0,0,0,0,0,0,0.0002238,0.0002238,0.0002238
21,2086.17,0.537,0.05647,1.25625,0,0,0,0,0,0,0,0.000204,0.000204,0.000204
22,2184.87,0.53233,0.05608,1.25059,0,0,0,0,0,0,0,0.0001842,0.0001842,0.0001842
23,2284.15,0.5316,0.05594,1.25245,0,0,0,0,0,0,0,0.0001644,0.0001644,0.0001644
24,2384.03,0.52952,0.05585,1.25189,0,0,0,0,0,0,0,0.0001446,0.0001446,0.0001446
25,2482.98,0.52875,0.05594,1.25332,0,0,0,0,0,0,0,0.0001248,0.0001248,0.0001248
26,2581.89,0.52385,0.0556,1.24839,0,0,0,0,0,0,0,0.000105,0.000105,0.000105
27,2681.22,0.52092,0.05518,1.24411,0,0,0,0,0,0,0,8.52e-05,8.52e-05,8.52e-05
28,2780.21,0.52023,0.05534,1.2469,0,0,0,0,0,0,0,6.54e-05,6.54e-05,6.54e-05
29,2878.97,0.52081,0.05548,1.24917,0,0,0,0,0,0,0,4.56e-05,4.56e-05,4.56e-05
30,2999.04,0.51984,0.05538,1.24876,0.9852,0.97808,0.99346,0.9056,0.59381,0.05858,1.29447,2.58e-05,2.58e-05,2.58e-05
