epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.226,0.77561,0.08066,1.34519,0,0,0,0,0,0,0,0.0929453,7.12593e-05,7.12593e-05
2,88.4536,0.71491,0.0765,1.30924,0,0,0,0,0,0,0,0.0858725,0.000141275,0.000141275
3,129.64,0.70846,0.0761,1.3103,0,0,0,0,0,0,0,0.0787982,0.000209877,0.000209877
4,170.128,0.70187,0.07596,1.3127,0,0,0,0,0,0,0,0.0717226,0.000277064,0.000277064
5,210.346,0.6956,0.07539,1.30542,0,0,0,0,0,0,0,0.0646455,0.000342837,0.000342837
6,250.242,0.67631,0.07406,1.29768,0,0,0,0,0,0,0,0.057567,0.000407196,0.000407196
7,289.897,0.67312,0.0737,1.29605,0,0,0,0,0,0,0,0.0504871,0.000470141,0.000470141
8,329.24,0.66943,0.07339,1.29195,0,0,0,0,0,0,0,0.0434057,0.000531671,0.000531671
9,368.43,0.65007,0.07196,1.28052,0,0,0,0,0,0,0,0.036323,0.000591787,0.000591787
10,407.603,0.65308,0.07211,1.28325,0,0,0,0,0,0,0,0.0292388,0.000650489,0.000650489
11,446.688,0.65679,0.0725,1.28864,0,0,0,0,0,0,0,0.0221533,0.000707776,0.000707776
12,485.526,0.64678,0.0718,1.27865,0,0,0,0,0,0,0,0.0150663,0.000763649,0.000763649
13,524.61,0.63741,0.071,1.27324,0,0,0,0,0,0,0,0.00797789,0.000818108,0.000818108
14,563.374,0.63752,0.07127,1.27577,0,0,0,0,0,0,0,0.000888079,0.000871153,0.000871153
15,602.507,0.6388,0.07169,1.27538,0,0,0,0,0,0,0,0.0008614,0.0008614,0.0008614
16,641.432,0.63868,0.07145,1.2745,0,0,0,0,0,0,0,0.0008515,0.0008515,0.0008515
17,680.445,0.61562,0.06963,1.25818,0,0,0,0,0,0,0,0.0008416,0.0008416,0.0008416
18,719.462,0.62239,0.06996,1.26373,0,0,0,0,0,0,0,0.0008317,0.0008317,0.0008317
19,758.656,0.61883,0.06981,1.26202,0,0,0,0,0,0,0,0.0008218,0.0008218,0.0008218
20,797.548,0.61515,0.06945,1.26135,0,0,0,0,0,0,0,0.0008119,0.0008119,0.0008119
21,836.27,0.61036,0.06898,1.25651,0,0,0,0,0,0,0,0.000802,0.000802,0.000802
22,875.362,0.60912,0.06879,1.2538,0,0,0,0,0,0,0,0.0007921,0.0007921,0.0007921
23,914.658,0.59807,0.06794,1.24629,0,0,0,0,0,0,0,0.0007822,0.0007822,0.0007822
24,953.695,0.59774,0.06795,1.24906,0,0,0,0,0,0,0,0.0007723,0.0007723,0.0007723
25,992.697,0.60227,0.06835,1.24941,0,0,0,0,0,0,0,0.0007624,0.0007624,0.0007624
26,1031.78,0.58932,0.0674,1.2447,0,0,0,0,0,0,0,0.0007525,0.0007525,0.0007525
27,1070.79,0.592,0.06747,1.24513,0,0,0,0,0,0,0,0.0007426,0.0007426,0.0007426
28,1109.66,0.57843,0.06677,1.23713,0,0,0,0,0,0,0,0.0007327,0.0007327,0.0007327
29,1148.45,0.58207,0.06724,1.24035,0,0,0,0,0,0,0,0.0007228,0.0007228,0.0007228
30,1187.3,0.59103,0.06778,1.24688,0,0,0,0,0,0,0,0.0007129,0.0007129,0.0007129
31,1226.09,0.57051,0.06613,1.23419,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
32,1264.88,0.58631,0.06711,1.24086,0,0,0,0,0,0,0,0.0006931,0.0006931,0.0006931
33,1303.68,0.57398,0.06631,1.23263,0,0,0,0,0,0,0,0.0006832,0.0006832,0.0006832
34,1342.44,0.57132,0.06648,1.23474,0,0,0,0,0,0,0,0.0006733,0.0006733,0.0006733
35,1381.16,0.56745,0.06593,1.22831,0,0,0,0,0,0,0,0.0006634,0.0006634,0.0006634
36,1419.89,0.56657,0.06554,1.23001,0,0,0,0,0,0,0,0.0006535,0.0006535,0.0006535
37,1458.75,0.5702,0.06603,1.22989,0,0,0,0,0,0,0,0.0006436,0.0006436,0.0006436
38,1497.4,0.56546,0.06541,1.22805,0,0,0,0,0,0,0,0.0006337,0.0006337,0.0006337
