epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6981,2.65464,2.15661,2.96726,0,0,0,0,0,0,0,0.0675388,0.000662474,0.000662474
2,54.4711,1.97888,1.41637,2.31222,0,0,0,0,0,0,0,0.034872,0.00132906,0.00132906
3,81.716,1.735,1.19286,2.04973,0,0,0,0,0,0,0,0.00220496,0.00199532,0.00199532
4,108.695,1.58962,1.0286,1.90614,0,0,0,0,0,0,0,0.0019989,0.0019989,0.0019989
5,135.638,1.4884,0.93794,1.79769,0,0,0,0,0,0,0,0.00199805,0.00199805,0.00199805
6,162.89,1.41565,0.85874,1.72492,0,0,0,0,0,0,0,0.00199695,0.00199695,0.00199695
7,189.76,1.33072,0.80257,1.66072,0,0,0,0,0,0,0,0.00199561,0.00199561,0.00199561
8,216.793,1.28353,0.74876,1.60836,0,0,0,0,0,0,0,0.00199402,0.00199402,0.00199402
9,243.439,1.2418,0.71706,1.56934,0,0,0,0,0,0,0,0.00199219,0.00199219,0.00199219
10,270.564,1.21608,0.69655,1.54855,0,0,0,0,0,0,0,0.00199012,0.00199012,0.00199012
11,297.731,1.17451,0.66763,1.5151,0,0,0,0,0,0,0,0.00198781,0.00198781,0.00198781
12,324.476,1.12213,0.63315,1.46779,0,0,0,0,0,0,0,0.00198526,0.00198526,0.00198526
13,351.184,1.10909,0.61787,1.45601,0,0,0,0,0,0,0,0.00198246,0.00198246,0.00198246
14,377.834,1.09664,0.60466,1.44249,0,0,0,0,0,0,0,0.00197943,0.00197943,0.00197943
15,405.007,1.07096,0.59701,1.42159,0,0,0,0,0,0,0,0.00197616,0.00197616,0.00197616
16,431.724,1.03324,0.57153,1.38856,0,0,0,0,0,0,0,0.00197265,0.00197265,0.00197265
17,458.814,1.02392,0.56774,1.38157,0,0,0,0,0,0,0,0.0019689,0.0019689,0.0019689
18,485.943,1.04595,0.56871,1.39537,0,0,0,0,0,0,0,0.00196491,0.00196491,0.00196491
19,512.667,1.00354,0.54746,1.36254,0,0,0,0,0,0,0,0.00196069,0.00196069,0.00196069
20,539.695,0.97369,0.53195,1.34313,0,0,0,0,0,0,0,0.00195624,0.00195624,0.00195624
21,566.726,0.96411,0.52726,1.33368,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
22,593.737,0.94293,0.51432,1.31969,0,0,0,0,0,0,0,0.00194662,0.00194662,0.00194662
